run_id,normalization,alpha,machine_type,db_level,seed,n_round_comparisons,mean_round_to_round_ari,min_round_to_round_ari,final_round_to_round_ari,n_sites,n_clusters,largest_cluster_sites,largest_cluster_fraction
p1_norm_central_clustered_fl_a100_fan_m6dB_s2,central,100.0,fan,-6dB,2,29,0.3651785237602702,-0.1194029850746269,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a100_fan_m6dB_s3,central,100.0,fan,-6dB,3,29,0.20719732920773268,-0.1061946902654866,0.5921450151057401,10,2,7,0.7
p1_norm_central_clustered_fl_a100_fan_m6dB_s4,central,100.0,fan,-6dB,4,29,0.9100472589944668,-0.0714285714285715,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s0,federated_train,0.05,fan,-6dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s1,federated_train,0.05,fan,-6dB,1,29,0.9862679279829113,0.6017699115044248,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s2,federated_train,0.05,fan,-6dB,2,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s3,federated_train,0.05,fan,-6dB,3,29,0.9437441400145848,0.5921450151057401,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s4,federated_train,0.05,fan,-6dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s0,federated_train,0.5,fan,-6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s1,federated_train,0.5,fan,-6dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s2,federated_train,0.5,fan,-6dB,2,29,0.969053934571176,0.1025641025641025,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s3,federated_train,0.5,fan,-6dB,3,29,0.7114867757150023,0.0,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s4,federated_train,0.5,fan,-6dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s0,federated_train,100.0,fan,-6dB,0,29,0.7320631368541042,-0.111111111111111,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s1,federated_train,100.0,fan,-6dB,1,29,0.7713916008623737,-0.1329305135951661,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s2,federated_train,100.0,fan,-6dB,2,29,0.2392200000604274,-0.1329305135951661,0.0956937799043061,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s3,federated_train,100.0,fan,-6dB,3,29,0.12217439585907916,-0.1061946902654866,0.0707964601769912,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s4,federated_train,100.0,fan,-6dB,4,29,0.9100472589944668,-0.0714285714285715,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p05_fan_m6dB_s0,local_site,0.05,fan,-6dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p05_fan_m6dB_s1,local_site,0.05,fan,-6dB,1,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p05_fan_m6dB_s2,local_site,0.05,fan,-6dB,2,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p05_fan_m6dB_s3,local_site,0.05,fan,-6dB,3,29,0.9372544934214961,0.2941176470588235,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p05_fan_m6dB_s4,local_site,0.05,fan,-6dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p5_fan_m6dB_s0,local_site,0.5,fan,-6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p5_fan_m6dB_s1,local_site,0.5,fan,-6dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_fan_m6dB_s2,local_site,0.5,fan,-6dB,2,29,0.969053934571176,0.1025641025641025,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_fan_m6dB_s3,local_site,0.5,fan,-6dB,3,29,0.9022160309840535,0.5921450151057401,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p5_fan_m6dB_s4,local_site,0.5,fan,-6dB,4,29,0.9753694581280787,0.2857142857142856,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a100_fan_m6dB_s0,local_site,100.0,fan,-6dB,0,29,0.729093305467926,-0.0683760683760684,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a100_fan_m6dB_s1,local_site,100.0,fan,-6dB,1,29,0.8836257961915139,-0.163793103448276,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a100_fan_m6dB_s2,local_site,100.0,fan,-6dB,2,29,0.6908627949382896,-0.129032258064516,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a100_fan_m6dB_s3,local_site,100.0,fan,-6dB,3,29,0.11260694937146441,-0.1329305135951661,0.5921450151057401,10,2,7,0.7
p1_norm_local_site_clustered_fl_a100_fan_m6dB_s4,local_site,100.0,fan,-6dB,4,29,0.9375114030286443,-0.0714285714285715,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,central,0.05,fan,0dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_fan_0dB_s1,central,0.05,fan,0dB,1,29,0.9862679279829113,0.6017699115044248,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,central,0.05,fan,0dB,2,29,0.9756592292089249,0.2941176470588235,1.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p05_fan_0dB_s3,central,0.05,fan,0dB,3,29,0.9603932508401724,0.2592592592592593,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,central,0.05,fan,0dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a0p5_fan_0dB_s0,central,0.5,fan,0dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p5_fan_0dB_s1,central,0.5,fan,0dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_fan_0dB_s2,central,0.5,fan,0dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_fan_0dB_s3,central,0.5,fan,0dB,3,29,0.424309919359586,-0.163793103448276,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p5_fan_0dB_s4,central,0.5,fan,0dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a100_fan_0dB_s0,central,100.0,fan,0dB,0,29,0.7308265778710411,-0.111111111111111,0.6017699115044248,10,2,6,0.6
p1_norm_central_clustered_fl_a100_fan_0dB_s1,central,100.0,fan,0dB,1,29,0.6486954419462828,-0.1329305135951661,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a100_fan_0dB_s2,central,100.0,fan,0dB,2,29,0.22441358968901848,-0.1329305135951661,0.6017699115044248,10,2,7,0.7
p1_norm_central_clustered_fl_a100_fan_0dB_s3,central,100.0,fan,0dB,3,29,0.11222671855227305,-0.1194029850746269,0.0483383685800604,10,2,7,0.7
p1_norm_central_clustered_fl_a100_fan_0dB_s4,central,100.0,fan,0dB,4,29,0.9481232834909978,-0.1061946902654866,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_0dB_s0,federated_train,0.05,fan,0dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_0dB_s1,federated_train,0.05,fan,0dB,1,29,0.9862679279829113,0.6017699115044248,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p05_fan_0dB_s2,federated_train,0.05,fan,0dB,2,29,0.9756592292089249,0.2941176470588235,1.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p05_fan_0dB_s3,federated_train,0.05,fan,0dB,3,29,0.9603932508401724,0.2592592592592593,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a0p05_fan_0dB_s4,federated_train,0.05,fan,0dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p5_fan_0dB_s0,federated_train,0.5,fan,0dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p5_fan_0dB_s1,federated_train,0.5,fan,0dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_fan_0dB_s2,federated_train,0.5,fan,0dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_fan_0dB_s3,federated_train,0.5,fan,0dB,3,29,0.25598177357621454,-0.163793103448276,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p5_fan_0dB_s4,federated_train,0.5,fan,0dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_0dB_s0,federated_train,100.0,fan,0dB,0,29,0.5499547304091396,-0.1329305135951661,-0.0714285714285715,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a100_fan_0dB_s1,federated_train,100.0,fan,0dB,1,29,0.7262275092994853,-0.0714285714285715,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_0dB_s2,federated_train,100.0,fan,0dB,2,29,0.2683319407813245,-0.1111111111111112,0.5970149253731343,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a100_fan_0dB_s3,federated_train,100.0,fan,0dB,3,29,0.09732369953402359,-0.111111111111111,-0.0465116279069767,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_0dB_s4,federated_train,100.0,fan,0dB,4,29,0.9481232834909978,-0.1061946902654866,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s0,local_site,0.05,fan,0dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s1,local_site,0.05,fan,0dB,1,29,0.9862679279829113,0.6017699115044248,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s2,local_site,0.05,fan,0dB,2,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s3,local_site,0.05,fan,0dB,3,29,0.9372544934214961,0.2941176470588235,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s4,local_site,0.05,fan,0dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p5_fan_0dB_s0,local_site,0.5,fan,0dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p5_fan_0dB_s1,local_site,0.5,fan,0dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_fan_0dB_s2,local_site,0.5,fan,0dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_fan_0dB_s3,local_site,0.5,fan,0dB,3,29,0.8044785555966678,0.2241379310344826,0.5921450151057401,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p5_fan_0dB_s4,local_site,0.5,fan,0dB,4,29,0.9753694581280787,0.2857142857142856,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a100_fan_0dB_s0,local_site,100.0,fan,0dB,0,29,0.5984322310904188,-0.1329305135951661,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a100_fan_0dB_s1,local_site,100.0,fan,0dB,1,29,0.6873223481685676,-0.0714285714285715,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a100_fan_0dB_s2,local_site,100.0,fan,0dB,2,29,0.6808330514087317,-0.1111111111111112,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a100_fan_0dB_s3,local_site,100.0,fan,0dB,3,29,0.44964602624381284,-0.1111111111111112,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a100_fan_0dB_s4,local_site,100.0,fan,0dB,4,29,0.9481232834909978,-0.1061946902654866,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_fan_6dB_s0,central,0.05,fan,6dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,central,0.05,fan,6dB,1,29,0.9385289040461454,-0.0683760683760684,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a0p05_fan_6dB_s2,central,0.05,fan,6dB,2,29,0.8791385038377821,0.2857142857142856,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_fan_6dB_s3,central,0.05,fan,6dB,3,29,0.787016215435406,-0.0465116279069767,0.5921450151057401,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_fan_6dB_s4,central,0.05,fan,6dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a0p5_fan_6dB_s0,central,0.5,fan,6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p5_fan_6dB_s1,central,0.5,fan,6dB,1,29,0.9655172413793104,0.0,0.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p5_fan_6dB_s2,central,0.5,fan,6dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_fan_6dB_s3,central,0.5,fan,6dB,3,29,0.11524411598039354,-0.1111111111111112,0.0707964601769912,10,2,7,0.7
p1_norm_central_clustered_fl_a0p5_fan_6dB_s4,central,0.5,fan,6dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a100_fan_6dB_s0,central,100.0,fan,6dB,0,29,0.916436616020041,0.0707964601769912,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a100_fan_6dB_s1,central,100.0,fan,6dB,1,29,0.15638253474256716,-0.163793103448276,0.0707964601769912,10,2,6,0.6
p1_norm_central_clustered_fl_a100_fan_6dB_s2,central,100.0,fan,6dB,2,29,0.09842334314687218,-0.1194029850746269,0.5161290322580645,10,2,9,0.9
p1_norm_central_clustered_fl_a100_fan_6dB_s3,central,100.0,fan,6dB,3,29,0.08458842362572493,-0.1194029850746269,-0.0714285714285715,10,2,7,0.7
p1_norm_central_clustered_fl_a100_fan_6dB_s4,central,100.0,fan,6dB,4,29,0.48353932347227047,-0.1329305135951661,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s0,federated_train,0.05,fan,6dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s1,federated_train,0.05,fan,6dB,1,29,0.9385289040461454,-0.0683760683760684,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s2,federated_train,0.05,fan,6dB,2,29,0.8791385038377821,0.2857142857142856,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s3,federated_train,0.05,fan,6dB,3,29,0.787016215435406,-0.0465116279069767,0.5921450151057401,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s4,federated_train,0.05,fan,6dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p5_fan_6dB_s0,federated_train,0.5,fan,6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p5_fan_6dB_s1,federated_train,0.5,fan,6dB,1,29,0.9655172413793104,0.0,0.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p5_fan_6dB_s2,federated_train,0.5,fan,6dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_fan_6dB_s3,federated_train,0.5,fan,6dB,3,29,0.06279713959238997,-0.1329305135951661,-0.0683760683760684,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_fan_6dB_s4,federated_train,0.5,fan,6dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_6dB_s0,federated_train,100.0,fan,6dB,0,29,0.9439007600542186,0.0707964601769912,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a100_fan_6dB_s1,federated_train,100.0,fan,6dB,1,29,0.11597191079624043,-0.1194029850746269,0.2857142857142856,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_6dB_s2,federated_train,100.0,fan,6dB,2,29,0.1698266507377006,-0.163793103448276,0.5970149253731343,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_fan_6dB_s3,federated_train,100.0,fan,6dB,3,29,0.033154294155081594,-0.1329305135951661,-0.0588235294117646,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a100_fan_6dB_s4,federated_train,100.0,fan,6dB,4,29,0.5567950332906916,-0.1329305135951661,0.6017699115044248,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s0,local_site,0.05,fan,6dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s1,local_site,0.05,fan,6dB,1,29,0.9759422614274258,0.3023255813953488,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s2,local_site,0.05,fan,6dB,2,29,0.9478671550967273,0.2941176470588235,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s3,local_site,0.05,fan,6dB,3,29,0.9437441400145848,0.5921450151057401,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s4,local_site,0.05,fan,6dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p5_fan_6dB_s0,local_site,0.5,fan,6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p5_fan_6dB_s1,local_site,0.5,fan,6dB,1,29,0.969053934571176,0.1025641025641025,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_fan_6dB_s2,local_site,0.5,fan,6dB,2,29,0.9310344827586207,0.0,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_fan_6dB_s3,local_site,0.5,fan,6dB,3,29,0.7302903145848179,0.2241379310344826,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p5_fan_6dB_s4,local_site,0.5,fan,6dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a100_fan_6dB_s0,local_site,100.0,fan,6dB,0,29,0.8957947145200268,0.0956937799043061,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a100_fan_6dB_s1,local_site,100.0,fan,6dB,1,29,0.1357259400181548,-0.1194029850746269,-0.1061946902654866,10,2,7,0.7
p1_norm_local_site_clustered_fl_a100_fan_6dB_s2,local_site,100.0,fan,6dB,2,29,0.2821452112045686,-0.1111111111111112,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a100_fan_6dB_s3,local_site,100.0,fan,6dB,3,29,0.02509875183126902,-0.1329305135951661,0.2857142857142856,10,2,6,0.6
p1_norm_local_site_clustered_fl_a100_fan_6dB_s4,local_site,100.0,fan,6dB,4,29,0.6215844762607364,-0.1061946902654866,0.5921450151057401,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_slider_m6dB_s0,central,0.05,slider,-6dB,0,29,0.9859360350036461,0.5921450151057401,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_slider_m6dB_s1,central,0.05,slider,-6dB,1,29,1.0,1.0,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_slider_m6dB_s2,central,0.05,slider,-6dB,2,29,1.0,1.0,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_slider_m6dB_s3,central,0.05,slider,-6dB,3,29,0.9725358559658224,0.6017699115044248,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_slider_m6dB_s4,central,0.05,slider,-6dB,4,29,0.9744572158365262,0.2592592592592593,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_slider_m6dB_s0,central,0.5,slider,-6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p5_slider_m6dB_s1,central,0.5,slider,-6dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_slider_m6dB_s2,central,0.5,slider,-6dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_slider_m6dB_s3,central,0.5,slider,-6dB,3,29,0.49281267496755227,-0.0714285714285715,0.5921450151057401,10,2,8,0.8
p1_norm_central_clustered_fl_a0p5_slider_m6dB_s4,central,0.5,slider,-6dB,4,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a100_slider_m6dB_s0,central,100.0,slider,-6dB,0,29,0.6895272103586846,-0.0683760683760684,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a100_slider_m6dB_s1,central,100.0,slider,-6dB,1,29,0.8767891076076453,0.1025641025641025,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a100_slider_m6dB_s2,central,100.0,slider,-6dB,2,29,0.2242386005904572,-0.1329305135951661,-0.129032258064516,10,2,8,0.8
p1_norm_central_clustered_fl_a100_slider_m6dB_s3,central,100.0,slider,-6dB,3,29,0.2652532546424108,-0.129032258064516,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a100_slider_m6dB_s4,central,100.0,slider,-6dB,4,29,0.9631594459180666,-0.0683760683760684,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s0,federated_train,0.05,slider,-6dB,0,29,0.9859360350036461,0.5921450151057401,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s1,federated_train,0.05,slider,-6dB,1,29,1.0,1.0,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s2,federated_train,0.05,slider,-6dB,2,29,1.0,1.0,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s3,federated_train,0.05,slider,-6dB,3,29,0.9725358559658224,0.6017699115044248,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s4,federated_train,0.05,slider,-6dB,4,29,0.9744572158365262,0.2592592592592593,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s0,federated_train,0.5,slider,-6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s1,federated_train,0.5,slider,-6dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s2,federated_train,0.5,slider,-6dB,2,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s3,federated_train,0.5,slider,-6dB,3,29,0.5903370813730441,-0.0714285714285715,0.3023255813953488,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s4,federated_train,0.5,slider,-6dB,4,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s0,federated_train,100.0,slider,-6dB,0,29,0.625928219085958,-0.0683760683760684,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s1,federated_train,100.0,slider,-6dB,1,29,0.8647220184150384,0.2592592592592593,1.0,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s2,federated_train,100.0,slider,-6dB,2,29,0.12976543238528246,-0.129032258064516,0.3023255813953488,10,2,6,0.6
p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s3,federated_train,100.0,slider,-6dB,3,29,0.2940917395563534,-0.129032258064516,1.0,10,2,8,0.8
p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s4,federated_train,100.0,slider,-6dB,4,29,0.9631594459180666,-0.0683760683760684,1.0,10,2,6,0.6
p1_norm_local_site_clustered_fl_a0p05_slider_m6dB_s0,local_site,0.05,slider,-6dB,0,29,0.9859360350036461,0.5921450151057401,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p05_slider_m6dB_s1,local_site,0.05,slider,-6dB,1,29,1.0,1.0,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p05_slider_m6dB_s2,local_site,0.05,slider,-6dB,2,29,1.0,1.0,1.0,10,2,8,0.8
p1_norm_local_site_clustered_fl_a0p05_slider_m6dB_s3,local_site,0.05,slider,-6dB,3,29,0.9622101894103371,0.3023255813953488,1.0,10,2,7,0.7
p1_norm_local_site_clustered_fl_a0p05_slider_m6dB_s4,local_site,0.05,slider,-6dB,4,29,0.9744572158365262,0.2592592592592593,1.0,10,2,9,0.9
p1_norm_local_site_clustered_fl_a0p5_slider_m6dB_s0,local_site,0.5,slider,-6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_local_site_clustered_fl_a0p5_slider_m6dB_s1,local_site,0.5,slider,-6dB,1,29,1.0,1.0,1.0,10,2,9,0.9
