anchor,comparator,comparator_label,alpha_slug,machine_type,db_level,seed,anchor_auroc,comparator_auroc,delta_anchor_minus_comparator
local_only,fedavg,FedAvg,a0p05,fan,-6dB,7,0.6410239502150273,0.5845794254719938,0.05644452474303352
local_only,fedprox,FedProx,a0p05,fan,-6dB,7,0.6410239502150273,0.5674451325537911,0.0735788176612362
local_only,personalized,Personalized FL,a0p05,fan,-6dB,7,0.6410239502150273,0.6110839636015316,0.029939986613495728
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,8,0.6661778082367192,0.5699083363798799,0.09626947185683932
local_only,fedavg,FedAvg,a0p05,fan,-6dB,8,0.6661778082367192,0.5362816831115157,0.12989612512520354
local_only,fedprox,FedProx,a0p05,fan,-6dB,8,0.6661778082367192,0.5534256905198867,0.11275211771683258
local_only,personalized,Personalized FL,a0p05,fan,-6dB,8,0.6661778082367192,0.5652869966460772,0.10089081159064206
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,9,0.5669240907451767,0.5965900973751455,-0.029666006629968766
local_only,fedavg,FedAvg,a0p05,fan,-6dB,9,0.5669240907451767,0.626182768467877,-0.059258677722700326
local_only,fedprox,FedProx,a0p05,fan,-6dB,9,0.5669240907451767,0.6280458503202785,-0.0611217595751018
local_only,personalized,Personalized FL,a0p05,fan,-6dB,9,0.5669240907451767,0.6428988880143456,-0.07597479726916889
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,0,0.7200230419045444,0.7481055631612862,-0.02808252125674182
local_only,fedavg,FedAvg,a0p05,fan,0dB,0,0.7200230419045444,0.7307131575255216,-0.010690115620977214
local_only,fedprox,FedProx,a0p05,fan,0dB,0,0.7200230419045444,0.7604831542647489,-0.040460112360204525
local_only,personalized,Personalized FL,a0p05,fan,0dB,0,0.7200230419045444,0.7467055049990972,-0.0266824630945528
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,1,0.8135158204168036,0.8041099771445669,0.009405843272236702
local_only,fedavg,FedAvg,a0p05,fan,0dB,1,0.8135158204168036,0.7904343358968269,0.023081484519976714
local_only,fedprox,FedProx,a0p05,fan,0dB,1,0.8135158204168036,0.7752599145618102,0.03825590585499339
local_only,personalized,Personalized FL,a0p05,fan,0dB,1,0.8135158204168036,0.798163387215466,0.015352433201337612
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,2,0.8335466177863988,0.8672150935771643,-0.033668475790765484
local_only,fedavg,FedAvg,a0p05,fan,0dB,2,0.8335466177863988,0.8616395934256869,-0.02809297563928803
local_only,fedprox,FedProx,a0p05,fan,0dB,2,0.8335466177863988,0.8425523615432509,-0.009005743756852036
local_only,personalized,Personalized FL,a0p05,fan,0dB,2,0.8335466177863988,0.8740754906775041,-0.040528872891105294
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,3,0.7878252770074577,0.7761529411268719,0.011672335880585805
local_only,fedavg,FedAvg,a0p05,fan,0dB,3,0.7878252770074577,0.7853554603546596,0.002469816652798107
local_only,fedprox,FedProx,a0p05,fan,0dB,3,0.7878252770074577,0.7549932453791546,0.03283203162830317
local_only,personalized,Personalized FL,a0p05,fan,0dB,3,0.7878252770074577,0.7890182060713486,-0.0011929290638909018
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,4,0.6866986722132211,0.7864586846433484,-0.09976001243012733
local_only,fedavg,FedAvg,a0p05,fan,0dB,4,0.6866986722132211,0.8140696222224868,-0.12737095000926568
local_only,fedprox,FedProx,a0p05,fan,0dB,4,0.6866986722132211,0.8257841058243894,-0.13908543361116832
local_only,personalized,Personalized FL,a0p05,fan,0dB,4,0.6866986722132211,0.8177555250583769,-0.13105685284515578
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,5,0.8260524006976583,0.7602057195668616,0.06584668113079672
local_only,fedavg,FedAvg,a0p05,fan,0dB,5,0.8260524006976583,0.7848972693641767,0.04115513133348159
local_only,fedprox,FedProx,a0p05,fan,0dB,5,0.8260524006976583,0.7821882615828596,0.043864139114798695
local_only,personalized,Personalized FL,a0p05,fan,0dB,5,0.8260524006976583,0.8048829210657976,0.021169479631860666
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,6,0.8260380174273112,0.7771606545801151,0.048877362847196126
local_only,fedavg,FedAvg,a0p05,fan,0dB,6,0.8260380174273112,0.7813640742293501,0.04467394319796114
local_only,fedprox,FedProx,a0p05,fan,0dB,6,0.8260380174273112,0.7983269817434663,0.02771103568384492
local_only,personalized,Personalized FL,a0p05,fan,0dB,6,0.8260380174273112,0.7939841074429177,0.0320539099843935
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,7,0.7924579724716752,0.8009361340418075,-0.00847816157013237
local_only,fedavg,FedAvg,a0p05,fan,0dB,7,0.7924579724716752,0.7851463852848455,0.007311587186829671
local_only,fedprox,FedProx,a0p05,fan,0dB,7,0.7924579724716752,0.8164656064649332,-0.024007633993258004
local_only,personalized,Personalized FL,a0p05,fan,0dB,7,0.7924579724716752,0.83026392751428,-0.037805955042604866
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,8,0.8380769883605248,0.7921385068254281,0.04593848153509672
local_only,fedavg,FedAvg,a0p05,fan,0dB,8,0.8380769883605248,0.7789782396929544,0.05909874866757037
local_only,fedprox,FedProx,a0p05,fan,0dB,8,0.8380769883605248,0.82777976646942,0.010297221891104824
local_only,personalized,Personalized FL,a0p05,fan,0dB,8,0.8380769883605248,0.8187795457899563,0.019297442570568535
local_only,clustered_fl,Clustered FL,a0p05,fan,0dB,9,0.7328035846292098,0.7206888608208459,0.01211472380836387
local_only,fedavg,FedAvg,a0p05,fan,0dB,9,0.7328035846292098,0.7427994363897027,-0.009995851760492891
local_only,fedprox,FedProx,a0p05,fan,0dB,9,0.7328035846292098,0.7351785936385342,-0.0023750090093244136
local_only,personalized,Personalized FL,a0p05,fan,0dB,9,0.7328035846292098,0.767964587313356,-0.035161002684146236
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,0,0.9015277888227256,0.9350979789343946,-0.03357019011166906
local_only,fedavg,FedAvg,a0p05,fan,6dB,0,0.9015277888227256,0.878226059169015,0.02330172965371058
local_only,fedprox,FedProx,a0p05,fan,6dB,0,0.9015277888227256,0.9343047012004987,-0.03277691237777314
local_only,personalized,Personalized FL,a0p05,fan,6dB,0,0.9015277888227256,0.8738424849556657,0.027685303867059807
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,1,0.9132960789110092,0.9507791833795673,-0.03748310446855818
local_only,fedavg,FedAvg,a0p05,fan,6dB,1,0.9132960789110092,0.9581288771207538,-0.04483279820974462
local_only,fedprox,FedProx,a0p05,fan,6dB,1,0.9132960789110092,0.959078749952532,-0.04578267104152278
local_only,personalized,Personalized FL,a0p05,fan,6dB,1,0.9132960789110092,0.9599036083831706,-0.0466075294721614
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,2,0.9578134805126839,0.9651844853640783,-0.007371004851394414
local_only,fedavg,FedAvg,a0p05,fan,6dB,2,0.9578134805126839,0.9460259065013089,0.01178757401137498
local_only,fedprox,FedProx,a0p05,fan,6dB,2,0.9578134805126839,0.9593326993475568,-0.0015192188348729374
local_only,personalized,Personalized FL,a0p05,fan,6dB,2,0.9578134805126839,0.9658396430055556,-0.008026162492871691
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,3,0.897054123706265,0.9367470530277109,-0.03969292932144586
local_only,fedavg,FedAvg,a0p05,fan,6dB,3,0.897054123706265,0.9577272746121124,-0.06067315090584735
local_only,fedprox,FedProx,a0p05,fan,6dB,3,0.897054123706265,0.9366787392544106,-0.03962461554814556
local_only,personalized,Personalized FL,a0p05,fan,6dB,3,0.897054123706265,0.9483922838255656,-0.05133816011930059
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,4,0.7538812405554985,0.878100900496087,-0.12421965994058848
local_only,fedavg,FedAvg,a0p05,fan,6dB,4,0.7538812405554985,0.9014891735736859,-0.1476079330181873
local_only,fedprox,FedProx,a0p05,fan,6dB,4,0.7538812405554985,0.9451652497968333,-0.1912840092413347
local_only,personalized,Personalized FL,a0p05,fan,6dB,4,0.7538812405554985,0.9604659149983489,-0.20658467444285034
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,5,0.8800485483143952,0.9182608091876381,-0.03821226087324292
local_only,fedavg,FedAvg,a0p05,fan,6dB,5,0.8800485483143952,0.9410560906434573,-0.06100754232906214
local_only,fedprox,FedProx,a0p05,fan,6dB,5,0.8800485483143952,0.9550366516020965,-0.07498810328770134
local_only,personalized,Personalized FL,a0p05,fan,6dB,5,0.8800485483143952,0.9133236871518177,-0.0332751388374225
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,6,0.8823467687272155,0.9500303956531528,-0.06768362692593732
local_only,fedavg,FedAvg,a0p05,fan,6dB,6,0.8823467687272155,0.9384705599456977,-0.05612379121848221
local_only,fedprox,FedProx,a0p05,fan,6dB,6,0.8823467687272155,0.943492954094534,-0.06114618536731853
local_only,personalized,Personalized FL,a0p05,fan,6dB,6,0.8823467687272155,0.9539797874927053,-0.07163301876548978
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,7,0.9511515873499179,0.9614104577656502,-0.010258870415732257
local_only,fedavg,FedAvg,a0p05,fan,6dB,7,0.9511515873499179,0.9471213374212198,0.004030249928698049
local_only,fedprox,FedProx,a0p05,fan,6dB,7,0.9511515873499179,0.9529050246519662,-0.0017534373020483551
local_only,personalized,Personalized FL,a0p05,fan,6dB,7,0.9511515873499179,0.962764062324381,-0.01161247497446316
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,8,0.9388859267486065,0.8836490907832486,0.05523683596535789
local_only,fedavg,FedAvg,a0p05,fan,6dB,8,0.9388859267486065,0.8339597427161662,0.10492618403244025
local_only,fedprox,FedProx,a0p05,fan,6dB,8,0.9388859267486065,0.927485387247981,0.011400539500625473
local_only,personalized,Personalized FL,a0p05,fan,6dB,8,0.9388859267486065,0.8401540262513734,0.09873190049723313
local_only,clustered_fl,Clustered FL,a0p05,fan,6dB,9,0.8665045909746105,0.8913676985109872,-0.02486310753637666
local_only,fedavg,FedAvg,a0p05,fan,6dB,9,0.8665045909746105,0.8997697575484749,-0.03326516657386436
local_only,fedprox,FedProx,a0p05,fan,6dB,9,0.8665045909746105,0.9150806525410522,-0.048576061566441675
local_only,personalized,Personalized FL,a0p05,fan,6dB,9,0.8665045909746105,0.8973641794123877,-0.03085958843777714
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,0,0.728690515691878,0.731536958475606,-0.0028464427837279205
local_only,fedavg,FedAvg,a0p05,pump,-6dB,0,0.728690515691878,0.6352218120534303,0.09346870363844773
local_only,fedprox,FedProx,a0p05,pump,-6dB,0,0.728690515691878,0.6800334998896348,0.04865701580224324
local_only,personalized,Personalized FL,a0p05,pump,-6dB,0,0.728690515691878,0.6852964551426738,0.04339406054920425
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,1,0.7528242685891676,0.7209122135212064,0.03191205506796124
local_only,fedavg,FedAvg,a0p05,pump,-6dB,1,0.7528242685891676,0.7245299903788444,0.028294278210323265
local_only,fedprox,FedProx,a0p05,pump,-6dB,1,0.7528242685891676,0.727463472338716,0.025360796250451623
local_only,personalized,Personalized FL,a0p05,pump,-6dB,1,0.7528242685891676,0.7313746349302437,0.02144963365892394
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,2,0.7093797900560793,0.6938861500269098,0.015493640029169531
local_only,fedavg,FedAvg,a0p05,pump,-6dB,2,0.7093797900560793,0.626592854328773,0.08278693572730633
local_only,fedprox,FedProx,a0p05,pump,-6dB,2,0.7093797900560793,0.6638788533269457,0.04550093672913358
local_only,personalized,Personalized FL,a0p05,pump,-6dB,2,0.7093797900560793,0.6623974272744563,0.046982362781623044
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,3,0.6871416489719543,0.7438743559394636,-0.056732706967509317
local_only,fedavg,FedAvg,a0p05,pump,-6dB,3,0.6871416489719543,0.7110383833725775,-0.023896734400623232
local_only,fedprox,FedProx,a0p05,pump,-6dB,3,0.6871416489719543,0.7061632462621453,-0.01902159729019104
local_only,personalized,Personalized FL,a0p05,pump,-6dB,3,0.6871416489719543,0.7262035946943165,-0.03906194572236221
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,4,0.6959202351944235,0.6355552879850773,0.060364947209346154
local_only,fedavg,FedAvg,a0p05,pump,-6dB,4,0.6959202351944235,0.6518217018062529,0.0440985333881706
local_only,fedprox,FedProx,a0p05,pump,-6dB,4,0.6959202351944235,0.6243799106848226,0.0715403245096009
local_only,personalized,Personalized FL,a0p05,pump,-6dB,4,0.6959202351944235,0.647469296941336,0.04845093825308744
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,5,0.6593154114504618,0.6736096021667658,-0.014294190716304
local_only,fedavg,FedAvg,a0p05,pump,-6dB,5,0.6593154114504618,0.6639456000828335,-0.004630188632371746
local_only,fedprox,FedProx,a0p05,pump,-6dB,5,0.6593154114504618,0.6743437171111537,-0.01502830566069191
local_only,personalized,Personalized FL,a0p05,pump,-6dB,5,0.6593154114504618,0.6910853973663554,-0.03176998591589364
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,6,0.7095555379980564,0.6727415390846156,0.036813998913440726
local_only,fedavg,FedAvg,a0p05,pump,-6dB,6,0.7095555379980564,0.6707238209260777,0.03883171707197863
local_only,fedprox,FedProx,a0p05,pump,-6dB,6,0.7095555379980564,0.652840264911817,0.05671527308623936
local_only,personalized,Personalized FL,a0p05,pump,-6dB,6,0.7095555379980564,0.680853590173299,0.028701947824757323
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,7,0.7265171525367877,0.6904197556437537,0.03609739689303404
local_only,fedavg,FedAvg,a0p05,pump,-6dB,7,0.7265171525367877,0.6481109307908454,0.07840622174594236
local_only,fedprox,FedProx,a0p05,pump,-6dB,7,0.7265171525367877,0.6866423238948949,0.039874828641892845
local_only,personalized,Personalized FL,a0p05,pump,-6dB,7,0.7265171525367877,0.6693824669962632,0.05713468554052448
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,8,0.6616368635673309,0.5839931074371105,0.07764375613022034
local_only,fedavg,FedAvg,a0p05,pump,-6dB,8,0.6616368635673309,0.5912188292734932,0.07041803429383764
local_only,fedprox,FedProx,a0p05,pump,-6dB,8,0.6616368635673309,0.5716222230281769,0.09001464053915398
local_only,personalized,Personalized FL,a0p05,pump,-6dB,8,0.6616368635673309,0.5939791750898142,0.06765768847751663
local_only,clustered_fl,Clustered FL,a0p05,pump,-6dB,9,0.7048518869037916,0.6584372894454131,0.046414597458378504
local_only,fedavg,FedAvg,a0p05,pump,-6dB,9,0.7048518869037916,0.6769109074891078,0.027940979414683875
local_only,fedprox,FedProx,a0p05,pump,-6dB,9,0.7048518869037916,0.6523259081489028,0.05252597875488885
local_only,personalized,Personalized FL,a0p05,pump,-6dB,9,0.7048518869037916,0.6748951791540164,0.029956707749775213
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,0,0.8483523589208982,0.8196112506511575,0.028741108269740745
local_only,fedavg,FedAvg,a0p05,pump,0dB,0,0.8483523589208982,0.7255594016382959,0.12279295728260231
local_only,fedprox,FedProx,a0p05,pump,0dB,0,0.8483523589208982,0.7857557292014824,0.06259662971941582
local_only,personalized,Personalized FL,a0p05,pump,0dB,0,0.8483523589208982,0.7703980440413281,0.07795431487957016
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,1,0.7865366894275249,0.6951280279557828,0.09140866147174209
local_only,fedavg,FedAvg,a0p05,pump,0dB,1,0.7865366894275249,0.7000882817301555,0.08644840769736939
local_only,fedprox,FedProx,a0p05,pump,0dB,1,0.7865366894275249,0.7026330162189071,0.0839036732086178
local_only,personalized,Personalized FL,a0p05,pump,0dB,1,0.7865366894275249,0.7024502368828677,0.08408645254465719
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,2,0.7766975884358328,0.7679556206719139,0.00874196776391889
local_only,fedavg,FedAvg,a0p05,pump,0dB,2,0.7766975884358328,0.6846410974549819,0.09205649098085089
local_only,fedprox,FedProx,a0p05,pump,0dB,2,0.7766975884358328,0.7111920483716677,0.06550554006416509
local_only,personalized,Personalized FL,a0p05,pump,0dB,2,0.7766975884358328,0.7051170091078085,0.07158057932802431
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,3,0.7768912072802554,0.7507958735957756,0.026095333684479805
local_only,fedavg,FedAvg,a0p05,pump,0dB,3,0.7768912072802554,0.6925081204761779,0.08438308680407747
local_only,fedprox,FedProx,a0p05,pump,0dB,3,0.7768912072802554,0.730604354208463,0.046286853071792367
local_only,personalized,Personalized FL,a0p05,pump,0dB,3,0.7768912072802554,0.7288373341044073,0.04805387317584808
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,4,0.7884204343768579,0.7882314963739602,0.00018893800289776497
local_only,fedavg,FedAvg,a0p05,pump,0dB,4,0.7884204343768579,0.7876786352370693,0.0007417991397886681
local_only,fedprox,FedProx,a0p05,pump,0dB,4,0.7884204343768579,0.7868347808023803,0.0015856535744775968
local_only,personalized,Personalized FL,a0p05,pump,0dB,4,0.7884204343768579,0.7926316694146833,-0.004211235037825389
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,5,0.7216687953415173,0.7165791629782539,0.00508963236326343
local_only,fedavg,FedAvg,a0p05,pump,0dB,5,0.7216687953415173,0.702804936200271,0.01886385914124633
local_only,fedprox,FedProx,a0p05,pump,0dB,5,0.7216687953415173,0.6951005329616582,0.026568262379859098
local_only,personalized,Personalized FL,a0p05,pump,0dB,5,0.7216687953415173,0.7281008790220858,-0.006432083680568468
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,6,0.728324198138339,0.66448293460451,0.06384126353382902
local_only,fedavg,FedAvg,a0p05,pump,0dB,6,0.728324198138339,0.6532026978099912,0.07512150032834786
local_only,fedprox,FedProx,a0p05,pump,0dB,6,0.728324198138339,0.6421009664549502,0.08622323168338886
local_only,personalized,Personalized FL,a0p05,pump,0dB,6,0.728324198138339,0.6652705832567258,0.0630536148816132
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,7,0.7903475489663236,0.7681244220862335,0.022223126880090094
local_only,fedavg,FedAvg,a0p05,pump,0dB,7,0.7903475489663236,0.6908876830644164,0.09945986590190725
local_only,fedprox,FedProx,a0p05,pump,0dB,7,0.7903475489663236,0.7680261260891925,0.022321422877131125
local_only,personalized,Personalized FL,a0p05,pump,0dB,7,0.7903475489663236,0.7281391041421672,0.06220844482415644
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,8,0.7602191813869115,0.7084441517407363,0.0517750296461752
local_only,fedavg,FedAvg,a0p05,pump,0dB,8,0.7602191813869115,0.7039828801008425,0.056236301286068935
local_only,fedprox,FedProx,a0p05,pump,0dB,8,0.7602191813869115,0.7195947906962299,0.04062439069068158
local_only,personalized,Personalized FL,a0p05,pump,0dB,8,0.7602191813869115,0.7142701705559272,0.04594901083098424
local_only,clustered_fl,Clustered FL,a0p05,pump,0dB,9,0.8448546254766202,0.7417912312704068,0.10306339420621335
local_only,fedavg,FedAvg,a0p05,pump,0dB,9,0.8448546254766202,0.7329637102453898,0.1118909152312304
local_only,fedprox,FedProx,a0p05,pump,0dB,9,0.8448546254766202,0.7523644410622601,0.09249018441436008
local_only,personalized,Personalized FL,a0p05,pump,0dB,9,0.8448546254766202,0.7437180136950627,0.10113661178155742
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,0,0.8800067210788681,0.8750927382688667,0.004913982810001438
local_only,fedavg,FedAvg,a0p05,pump,6dB,0,0.8800067210788681,0.773070678371193,0.1069360427076751
local_only,fedprox,FedProx,a0p05,pump,6dB,0,0.8800067210788681,0.8666108809606526,0.013395840118215485
local_only,personalized,Personalized FL,a0p05,pump,6dB,0,0.8800067210788681,0.8531769005110456,0.02682982056782257
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,1,0.8913698014653881,0.7659321222275071,0.12543767923788107
local_only,fedavg,FedAvg,a0p05,pump,6dB,1,0.8913698014653881,0.7763380996816279,0.11503170178376021
local_only,fedprox,FedProx,a0p05,pump,6dB,1,0.8913698014653881,0.8160661033735725,0.07530369809181559
local_only,personalized,Personalized FL,a0p05,pump,6dB,1,0.8913698014653881,0.8078541428242211,0.08351565864116706
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,2,0.8645937918465182,0.8248560037876871,0.0397377880588311
local_only,fedavg,FedAvg,a0p05,pump,6dB,2,0.8645937918465182,0.8289780706986632,0.03561572114785494
local_only,fedprox,FedProx,a0p05,pump,6dB,2,0.8645937918465182,0.8210156003744318,0.043578191472086414
local_only,personalized,Personalized FL,a0p05,pump,6dB,2,0.8645937918465182,0.8400323957893209,0.024561396057197316
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,3,0.8578077736905483,0.8154036803107625,0.04240409337978579
local_only,fedavg,FedAvg,a0p05,pump,6dB,3,0.8578077736905483,0.7899194924093098,0.06788828128123847
local_only,fedprox,FedProx,a0p05,pump,6dB,3,0.8578077736905483,0.8184185585509548,0.03938921513959348
local_only,personalized,Personalized FL,a0p05,pump,6dB,3,0.8578077736905483,0.8414232381278914,0.016384535562656843
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,4,0.8335662583174197,0.8110090883599076,0.022557169957512113
local_only,fedavg,FedAvg,a0p05,pump,6dB,4,0.8335662583174197,0.8327875170606466,0.00077874125677313
local_only,fedprox,FedProx,a0p05,pump,6dB,4,0.8335662583174197,0.8285355056132013,0.0050307527042183775
local_only,personalized,Personalized FL,a0p05,pump,6dB,4,0.8335662583174197,0.8378930004478522,-0.004326742130432493
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,5,0.8194392311949819,0.7152188628297615,0.1042203683652203
local_only,fedavg,FedAvg,a0p05,pump,6dB,5,0.8194392311949819,0.7391772579196447,0.08026197327533713
local_only,fedprox,FedProx,a0p05,pump,6dB,5,0.8194392311949819,0.7490273233651195,0.0704119078298624
local_only,personalized,Personalized FL,a0p05,pump,6dB,5,0.8194392311949819,0.7624965438402327,0.056942687354749166
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,6,0.7955026657574109,0.736501721928706,0.05900094382870491
local_only,fedavg,FedAvg,a0p05,pump,6dB,6,0.7955026657574109,0.7498671260615655,0.04563553969584544
local_only,fedprox,FedProx,a0p05,pump,6dB,6,0.7955026657574109,0.7057769147991539,0.08972575095825697
local_only,personalized,Personalized FL,a0p05,pump,6dB,6,0.7955026657574109,0.755219473409432,0.04028319234797895
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,7,0.8448820202448117,0.8425893054552924,0.0022927147895193123
local_only,fedavg,FedAvg,a0p05,pump,6dB,7,0.8448820202448117,0.7805910939116179,0.06429092633319389
local_only,fedprox,FedProx,a0p05,pump,6dB,7,0.8448820202448117,0.8496562035429229,-0.00477418329811119
local_only,personalized,Personalized FL,a0p05,pump,6dB,7,0.8448820202448117,0.8164949690070992,0.02838705123771257
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,8,0.8248390835956785,0.7570875377810989,0.06775154581457954
local_only,fedavg,FedAvg,a0p05,pump,6dB,8,0.8248390835956785,0.753400528270199,0.07143855532547949
local_only,fedprox,FedProx,a0p05,pump,6dB,8,0.8248390835956785,0.7831873121590889,0.0416517714365896
local_only,personalized,Personalized FL,a0p05,pump,6dB,8,0.8248390835956785,0.7699447783039558,0.05489430529172268
local_only,clustered_fl,Clustered FL,a0p05,pump,6dB,9,0.9069133638878366,0.8654275420219595,0.041485821865877126
local_only,fedavg,FedAvg,a0p05,pump,6dB,9,0.9069133638878366,0.8502301025202379,0.056683261367598714
local_only,fedprox,FedProx,a0p05,pump,6dB,9,0.9069133638878366,0.8902683244047273,0.01664503948310936
local_only,personalized,Personalized FL,a0p05,pump,6dB,9,0.9069133638878366,0.8625093220635414,0.04440404182429525
local_only,clustered_fl,Clustered FL,a0p05,slider,-6dB,0,0.8150365458368638,0.8483198590747962,-0.03328331323793243
local_only,fedavg,FedAvg,a0p05,slider,-6dB,0,0.8150365458368638,0.7148688109797813,0.10016773485708252
local_only,fedprox,FedProx,a0p05,slider,-6dB,0,0.8150365458368638,0.7536008642532644,0.061435681583599355
