alpha_slug,comparator,comparator_label,machine_type,db_level,n_pairs,delta_mean,delta_std,delta_ci95,delta_min,delta_max
a100,clustered_fl,Clustered FL,slider,6dB,10,-0.04065926532557146,0.02278311089952235,0.014121118434832854,-0.06559617058255063,0.009697996636255701
a100,clustered_fl,Clustered FL,valve,-6dB,10,-0.016896994723579882,0.008310215852765547,0.005150725148706011,-0.030716420086237428,-0.003197978240594812
a100,clustered_fl,Clustered FL,valve,0dB,10,-0.037325320890196405,0.02074726867526056,0.012859290351292381,-0.06814846776455274,-0.0012124763049677911
a100,clustered_fl,Clustered FL,valve,6dB,10,-0.04190450770510797,0.07447050243264608,0.04615729561211724,-0.11078961248851626,0.1316018883948783
a100,fedavg,FedAvg,fan,-6dB,10,-0.050207065941608064,0.015410654194970133,0.009551622427909497,-0.07852758371858426,-0.028311220257424274
a100,fedavg,FedAvg,fan,0dB,10,-0.07164276130994642,0.020121903825895317,0.012471685201942338,-0.10175231007854024,-0.04789937983833448
a100,fedavg,FedAvg,fan,6dB,10,-0.04502523094538097,0.00620040354610009,0.003843049933100778,-0.05428750943373595,-0.03606551710464845
a100,fedavg,FedAvg,pump,-6dB,10,-0.014104847037391621,0.019764311600175173,0.012250047244200776,-0.03817462329950916,0.025111868811409477
a100,fedavg,FedAvg,pump,0dB,10,-0.0008158641334720662,0.018005838384963804,0.011160134253565171,-0.03356512410130408,0.025268447580363507
a100,fedavg,FedAvg,pump,6dB,10,0.01731501446271484,0.01362081227898392,0.008442266915102888,-0.005068508839081276,0.04603967894186611
a100,fedavg,FedAvg,slider,-6dB,10,-0.04763575022229503,0.015040263459211247,0.009322051871461661,-0.07577201441548032,-0.02610027939056836
a100,fedavg,FedAvg,slider,0dB,10,-0.03717586473391016,0.017130853483294323,0.010617812992888501,-0.05932137360854883,0.00550720885146716
a100,fedavg,FedAvg,slider,6dB,10,-0.04017774117589486,0.026872735848765872,0.01665589423946302,-0.06874556972762114,0.019461063879492757
a100,fedavg,FedAvg,valve,-6dB,10,-0.015705454058106035,0.012135621667935694,0.0075217362373826,-0.03386535871567986,0.006206987975278022
a100,fedavg,FedAvg,valve,0dB,10,-0.03968602409655356,0.02868393326282817,0.017778486027109235,-0.07593823094900987,0.008944773794361538
a100,fedavg,FedAvg,valve,6dB,10,-0.043418261238468175,0.0833927992453916,0.05168739247023123,-0.12832162495102584,0.13036016838334874
a100,fedprox,FedProx,fan,-6dB,10,-0.01440933728976016,0.011611788573898215,0.007197061121960007,-0.02953813472358202,0.0077151077929533685
a100,fedprox,FedProx,fan,0dB,10,-0.026770873646410363,0.014087250818979083,0.008731368517377066,-0.051550487034854875,-0.0074980027802034055
a100,fedprox,FedProx,fan,6dB,10,-0.02265746053299108,0.010487185835920877,0.006500025123445501,-0.04210352479643742,-0.009335989289964153
a100,fedprox,FedProx,pump,-6dB,10,-0.010133156912326469,0.021536636981336392,0.0133485458962423,-0.0321274480866347,0.023375346377864648
a100,fedprox,FedProx,pump,0dB,10,-0.00578611918228642,0.013974784710313526,0.008661661301037071,-0.02474348049142494,0.014447260953935448
a100,fedprox,FedProx,pump,6dB,10,0.00163387316010859,0.014432216325075393,0.008945180353214647,-0.0204949452782337,0.02360187118616719
a100,fedprox,FedProx,slider,-6dB,10,-0.02894147081082773,0.008156463800204756,0.005055428639226477,-0.043274300504317575,-0.020544466651981175
a100,fedprox,FedProx,slider,0dB,10,-0.02051686434630475,0.007461817279539914,0.0046248822651201015,-0.03241542021582633,-0.009949798555865641
a100,fedprox,FedProx,slider,6dB,10,-0.017464966932003778,0.006566868816992152,0.004070187461217204,-0.026456272300703243,-0.007905221404818086
a100,fedprox,FedProx,valve,-6dB,10,0.018737320720758028,0.009022388975474088,0.005592134623304271,0.005474597659689828,0.03328925260339416
a100,fedprox,FedProx,valve,0dB,10,0.007662943898825242,0.01022585493475976,0.00633805055279742,-0.010656119582515444,0.030742265395253487
a100,fedprox,FedProx,valve,6dB,10,-0.005491211425661713,0.01609561050104092,0.009976162744785803,-0.02878274682912585,0.023936447234186975
a100,personalized,Personalized FL,fan,-6dB,10,-0.05546184033579212,0.01475625393542708,0.009146020944883466,-0.08137735973375204,-0.03359439220880467
a100,personalized,Personalized FL,fan,0dB,10,-0.07628063927525609,0.019389115063837704,0.012017498021694401,-0.10374694155443287,-0.052253478030745204
a100,personalized,Personalized FL,fan,6dB,10,-0.04563569575518909,0.0056884432961131146,0.003525733682660884,-0.05629583256896886,-0.036870712407048756
a100,personalized,Personalized FL,pump,-6dB,10,-0.01902612008323621,0.018394708702154886,0.011401158573249338,-0.04168412459281101,0.017439131460731616
a100,personalized,Personalized FL,pump,0dB,10,-0.0047896281566074065,0.01450523497455591,0.008990437781044115,-0.02958091357070891,0.023126626539670125
a100,personalized,Personalized FL,pump,6dB,10,0.0132925354445512,0.013908487801528462,0.008620570051253582,-0.018352769668511182,0.03439303918153125
a100,personalized,Personalized FL,slider,-6dB,10,-0.051153290358377956,0.014871777491123927,0.009217623186526523,-0.08060278436400636,-0.03198783561031815
a100,personalized,Personalized FL,slider,0dB,10,-0.04063487418733255,0.011586498816347775,0.007181386367834772,-0.060495423123597014,-0.015683145564323375
a100,personalized,Personalized FL,slider,6dB,10,-0.04717972837905614,0.016125581946267023,0.00999473923899537,-0.07040942788561533,-0.01778818009151062
a100,personalized,Personalized FL,valve,-6dB,10,-0.021869419172191373,0.01044918175038841,0.0064764699471933085,-0.03711725746304406,-0.00045901384981006377
a100,personalized,Personalized FL,valve,0dB,10,-0.04689659452529394,0.02576155898298109,0.01596717968274626,-0.08545349414190484,-0.003779109210298337
a100,personalized,Personalized FL,valve,6dB,10,-0.06060581713835948,0.06628094981657706,0.0410813583123418,-0.13311549324380034,0.08985034294060801
