host,worker,gpu,config_file,name,algorithm,algorithm_label,alpha,alpha_slug,machine_type,db_level,seed,auroc,equivalent_epochs,log_file,log_line
master,norm_g2,2,p1_anchor_centralized_pooled_fan_0dB_s4.json,p1_anchor_centralized_pooled_fan_0dB_s4,centralized_pooled,Centralized pooled,,pooled,fan,0dB,4,0.8320384726290804,60,master/logs/p1_norm_g2.log,237
n3,norm_g5,5,p1_anchor_centralized_pooled_fan_0dB_s5.json,p1_anchor_centralized_pooled_fan_0dB_s5,centralized_pooled,Centralized pooled,,pooled,fan,0dB,5,0.7580554903432521,60,n3/logs/p1_norm_g5.log,196
master,norm_g6,6,p1_anchor_centralized_pooled_fan_0dB_s6.json,p1_anchor_centralized_pooled_fan_0dB_s6,centralized_pooled,Centralized pooled,,pooled,fan,0dB,6,0.7685957900383515,60,master/logs/p1_norm_g6.log,241
n3,norm_g3,3,p1_anchor_centralized_pooled_fan_0dB_s7.json,p1_anchor_centralized_pooled_fan_0dB_s7,centralized_pooled,Centralized pooled,,pooled,fan,0dB,7,0.8427857581724247,60,n3/logs/p1_norm_g3.log,198
master,norm_g0,0,p1_anchor_centralized_pooled_fan_0dB_s8.json,p1_anchor_centralized_pooled_fan_0dB_s8,centralized_pooled,Centralized pooled,,pooled,fan,0dB,8,0.7916117335696508,60,master/logs/p1_norm_g0.log,239
n3,norm_g4,4,p1_anchor_centralized_pooled_fan_0dB_s9.json,p1_anchor_centralized_pooled_fan_0dB_s9,centralized_pooled,Centralized pooled,,pooled,fan,0dB,9,0.8153616847749348,60,n3/logs/p1_norm_g4.log,198
master,norm_g7,7,p1_anchor_centralized_pooled_fan_6dB_s0.json,p1_anchor_centralized_pooled_fan_6dB_s0,centralized_pooled,Centralized pooled,,pooled,fan,6dB,0,0.9613931724088237,60,master/logs/p1_norm_g7.log,196
n3,norm_g1,1,p1_anchor_centralized_pooled_fan_6dB_s1.json,p1_anchor_centralized_pooled_fan_6dB_s1,centralized_pooled,Centralized pooled,,pooled,fan,6dB,1,0.9597197190707403,60,n3/logs/p1_norm_g1.log,198
master,norm_g5,5,p1_anchor_centralized_pooled_fan_6dB_s2.json,p1_anchor_centralized_pooled_fan_6dB_s2,centralized_pooled,Centralized pooled,,pooled,fan,6dB,2,0.9658182957029456,60,master/logs/p1_norm_g5.log,239
n3,norm_g0,0,p1_anchor_centralized_pooled_fan_6dB_s3.json,p1_anchor_centralized_pooled_fan_6dB_s3,centralized_pooled,Centralized pooled,,pooled,fan,6dB,3,0.9384831134974052,60,n3/logs/p1_norm_g0.log,196
master,norm_g4,4,p1_anchor_centralized_pooled_fan_6dB_s4.json,p1_anchor_centralized_pooled_fan_6dB_s4,centralized_pooled,Centralized pooled,,pooled,fan,6dB,4,0.9575907757271661,60,master/logs/p1_norm_g4.log,239
n3,norm_g7,7,p1_anchor_centralized_pooled_fan_6dB_s5.json,p1_anchor_centralized_pooled_fan_6dB_s5,centralized_pooled,Centralized pooled,,pooled,fan,6dB,5,0.9503297922313276,60,n3/logs/p1_norm_g7.log,198
master,norm_g1,1,p1_anchor_centralized_pooled_fan_6dB_s6.json,p1_anchor_centralized_pooled_fan_6dB_s6,centralized_pooled,Centralized pooled,,pooled,fan,6dB,6,0.9348218856102107,60,master/logs/p1_norm_g1.log,239
n3,norm_g2,2,p1_anchor_centralized_pooled_fan_6dB_s7.json,p1_anchor_centralized_pooled_fan_6dB_s7,centralized_pooled,Centralized pooled,,pooled,fan,6dB,7,0.9559690003621585,60,n3/logs/p1_norm_g2.log,198
master,norm_g3,3,p1_anchor_centralized_pooled_fan_6dB_s8.json,p1_anchor_centralized_pooled_fan_6dB_s8,centralized_pooled,Centralized pooled,,pooled,fan,6dB,8,0.9396383459416111,60,master/logs/p1_norm_g3.log,239
n3,norm_g5,5,p1_anchor_centralized_pooled_fan_6dB_s9.json,p1_anchor_centralized_pooled_fan_6dB_s9,centralized_pooled,Centralized pooled,,pooled,fan,6dB,9,0.9638921497685461,60,n3/logs/p1_norm_g5.log,198
master,norm_g2,2,p1_anchor_centralized_pooled_pump_-6dB_s0.json,p1_anchor_centralized_pooled_pump_-6dB_s0,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,0,0.6516529689001457,60,master/logs/p1_norm_g2.log,239
n3,norm_g6,6,p1_anchor_centralized_pooled_pump_-6dB_s1.json,p1_anchor_centralized_pooled_pump_-6dB_s1,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,1,0.6879003553427335,60,n3/logs/p1_norm_g6.log,198
master,norm_g6,6,p1_anchor_centralized_pooled_pump_-6dB_s2.json,p1_anchor_centralized_pooled_pump_-6dB_s2,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,2,0.6678163207164259,60,master/logs/p1_norm_g6.log,243
n3,norm_g3,3,p1_anchor_centralized_pooled_pump_-6dB_s3.json,p1_anchor_centralized_pooled_pump_-6dB_s3,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,3,0.6470670881740344,60,n3/logs/p1_norm_g3.log,200
master,norm_g0,0,p1_anchor_centralized_pooled_pump_-6dB_s4.json,p1_anchor_centralized_pooled_pump_-6dB_s4,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,4,0.669972014915902,60,master/logs/p1_norm_g0.log,241
n3,norm_g4,4,p1_anchor_centralized_pooled_pump_-6dB_s5.json,p1_anchor_centralized_pooled_pump_-6dB_s5,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,5,0.5834870246525826,60,n3/logs/p1_norm_g4.log,200
master,norm_g2,2,p1_anchor_centralized_pooled_pump_-6dB_s6.json,p1_anchor_centralized_pooled_pump_-6dB_s6,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,6,0.6415166019037762,60,master/logs/p1_norm_g2.log,241
n3,norm_g6,6,p1_anchor_centralized_pooled_pump_-6dB_s7.json,p1_anchor_centralized_pooled_pump_-6dB_s7,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,7,0.6776153216177667,60,n3/logs/p1_norm_g6.log,200
master,norm_g1,1,p1_anchor_centralized_pooled_pump_-6dB_s8.json,p1_anchor_centralized_pooled_pump_-6dB_s8,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,8,0.6298943108858606,60,master/logs/p1_norm_g1.log,241
n3,norm_g2,2,p1_anchor_centralized_pooled_pump_-6dB_s9.json,p1_anchor_centralized_pooled_pump_-6dB_s9,centralized_pooled,Centralized pooled,,pooled,pump,-6dB,9,0.6687753214486614,60,n3/logs/p1_norm_g2.log,200
master,norm_g4,4,p1_anchor_centralized_pooled_pump_0dB_s0.json,p1_anchor_centralized_pooled_pump_0dB_s0,centralized_pooled,Centralized pooled,,pooled,pump,0dB,0,0.716183489004227,60,master/logs/p1_norm_g4.log,241
n3,norm_g1,1,p1_anchor_centralized_pooled_pump_0dB_s1.json,p1_anchor_centralized_pooled_pump_0dB_s1,centralized_pooled,Centralized pooled,,pooled,pump,0dB,1,0.7703153578410785,60,n3/logs/p1_norm_g1.log,200
master,norm_g7,7,p1_anchor_centralized_pooled_pump_0dB_s2.json,p1_anchor_centralized_pooled_pump_0dB_s2,centralized_pooled,Centralized pooled,,pooled,pump,0dB,2,0.7379312211716387,60,master/logs/p1_norm_g7.log,198
n3,norm_g5,5,p1_anchor_centralized_pooled_pump_0dB_s3.json,p1_anchor_centralized_pooled_pump_0dB_s3,centralized_pooled,Centralized pooled,,pooled,pump,0dB,3,0.7129883955294225,60,n3/logs/p1_norm_g5.log,200
master,norm_g5,5,p1_anchor_centralized_pooled_pump_0dB_s4.json,p1_anchor_centralized_pooled_pump_0dB_s4,centralized_pooled,Centralized pooled,,pooled,pump,0dB,4,0.730805655428998,60,master/logs/p1_norm_g5.log,241
n3,norm_g7,7,p1_anchor_centralized_pooled_pump_0dB_s5.json,p1_anchor_centralized_pooled_pump_0dB_s5,centralized_pooled,Centralized pooled,,pooled,pump,0dB,5,0.657057566727322,60,n3/logs/p1_norm_g7.log,200
master,norm_g3,3,p1_anchor_centralized_pooled_pump_0dB_s6.json,p1_anchor_centralized_pooled_pump_0dB_s6,centralized_pooled,Centralized pooled,,pooled,pump,0dB,6,0.724861404810987,60,master/logs/p1_norm_g3.log,241
n3,norm_g0,0,p1_anchor_centralized_pooled_pump_0dB_s7.json,p1_anchor_centralized_pooled_pump_0dB_s7,centralized_pooled,Centralized pooled,,pooled,pump,0dB,7,0.7530395309447914,60,n3/logs/p1_norm_g0.log,198
master,norm_g0,0,p1_anchor_centralized_pooled_pump_0dB_s8.json,p1_anchor_centralized_pooled_pump_0dB_s8,centralized_pooled,Centralized pooled,,pooled,pump,0dB,8,0.7182750002908892,60,master/logs/p1_norm_g0.log,243
n3,norm_g3,3,p1_anchor_centralized_pooled_pump_0dB_s9.json,p1_anchor_centralized_pooled_pump_0dB_s9,centralized_pooled,Centralized pooled,,pooled,pump,0dB,9,0.7303213449498658,60,n3/logs/p1_norm_g3.log,202
master,norm_g6,6,p1_anchor_centralized_pooled_pump_6dB_s0.json,p1_anchor_centralized_pooled_pump_6dB_s0,centralized_pooled,Centralized pooled,,pooled,pump,6dB,0,0.8168028368889015,60,master/logs/p1_norm_g6.log,245
n3,norm_g4,4,p1_anchor_centralized_pooled_pump_6dB_s1.json,p1_anchor_centralized_pooled_pump_6dB_s1,centralized_pooled,Centralized pooled,,pooled,pump,6dB,1,0.8469797242453527,60,n3/logs/p1_norm_g4.log,202
master,norm_g2,2,p1_anchor_centralized_pooled_pump_6dB_s2.json,p1_anchor_centralized_pooled_pump_6dB_s2,centralized_pooled,Centralized pooled,,pooled,pump,6dB,2,0.8453423424680908,60,master/logs/p1_norm_g2.log,243
n3,norm_g6,6,p1_anchor_centralized_pooled_pump_6dB_s3.json,p1_anchor_centralized_pooled_pump_6dB_s3,centralized_pooled,Centralized pooled,,pooled,pump,6dB,3,0.7990844741285037,60,n3/logs/p1_norm_g6.log,202
master,norm_g1,1,p1_anchor_centralized_pooled_pump_6dB_s4.json,p1_anchor_centralized_pooled_pump_6dB_s4,centralized_pooled,Centralized pooled,,pooled,pump,6dB,4,0.8425565334847696,60,master/logs/p1_norm_g1.log,243
n3,norm_g2,2,p1_anchor_centralized_pooled_pump_6dB_s5.json,p1_anchor_centralized_pooled_pump_6dB_s5,centralized_pooled,Centralized pooled,,pooled,pump,6dB,5,0.8120653468757497,60,n3/logs/p1_norm_g2.log,202
master,norm_g7,7,p1_anchor_centralized_pooled_pump_6dB_s6.json,p1_anchor_centralized_pooled_pump_6dB_s6,centralized_pooled,Centralized pooled,,pooled,pump,6dB,6,0.857091842122647,60,master/logs/p1_norm_g7.log,200
n3,norm_g5,5,p1_anchor_centralized_pooled_pump_6dB_s7.json,p1_anchor_centralized_pooled_pump_6dB_s7,centralized_pooled,Centralized pooled,,pooled,pump,6dB,7,0.828194534483797,60,n3/logs/p1_norm_g5.log,202
master,norm_g5,5,p1_anchor_centralized_pooled_pump_6dB_s8.json,p1_anchor_centralized_pooled_pump_6dB_s8,centralized_pooled,Centralized pooled,,pooled,pump,6dB,8,0.8288198363810002,60,master/logs/p1_norm_g5.log,243
n3,norm_g0,0,p1_anchor_centralized_pooled_pump_6dB_s9.json,p1_anchor_centralized_pooled_pump_6dB_s9,centralized_pooled,Centralized pooled,,pooled,pump,6dB,9,0.8375840108731143,60,n3/logs/p1_norm_g0.log,200
master,norm_g3,3,p1_anchor_centralized_pooled_slider_-6dB_s0.json,p1_anchor_centralized_pooled_slider_-6dB_s0,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,0,0.8478812573779653,60,master/logs/p1_norm_g3.log,243
n3,norm_g7,7,p1_anchor_centralized_pooled_slider_-6dB_s1.json,p1_anchor_centralized_pooled_slider_-6dB_s1,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,1,0.8557928357818947,60,n3/logs/p1_norm_g7.log,202
master,norm_g4,4,p1_anchor_centralized_pooled_slider_-6dB_s2.json,p1_anchor_centralized_pooled_slider_-6dB_s2,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,2,0.831909636598232,60,master/logs/p1_norm_g4.log,243
n3,norm_g1,1,p1_anchor_centralized_pooled_slider_-6dB_s3.json,p1_anchor_centralized_pooled_slider_-6dB_s3,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,3,0.8214953402629306,60,n3/logs/p1_norm_g1.log,202
master,norm_g0,0,p1_anchor_centralized_pooled_slider_-6dB_s4.json,p1_anchor_centralized_pooled_slider_-6dB_s4,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,4,0.848454005642518,60,master/logs/p1_norm_g0.log,245
n3,norm_g3,3,p1_anchor_centralized_pooled_slider_-6dB_s5.json,p1_anchor_centralized_pooled_slider_-6dB_s5,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,5,0.8189132426588618,60,n3/logs/p1_norm_g3.log,204
master,norm_g2,2,p1_anchor_centralized_pooled_slider_-6dB_s6.json,p1_anchor_centralized_pooled_slider_-6dB_s6,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,6,0.8433561144916089,60,master/logs/p1_norm_g2.log,245
n3,norm_g6,6,p1_anchor_centralized_pooled_slider_-6dB_s7.json,p1_anchor_centralized_pooled_slider_-6dB_s7,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,7,0.8614940325476107,60,n3/logs/p1_norm_g6.log,204
master,norm_g6,6,p1_anchor_centralized_pooled_slider_-6dB_s8.json,p1_anchor_centralized_pooled_slider_-6dB_s8,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,8,0.8536600728465071,60,master/logs/p1_norm_g6.log,247
n3,norm_g4,4,p1_anchor_centralized_pooled_slider_-6dB_s9.json,p1_anchor_centralized_pooled_slider_-6dB_s9,centralized_pooled,Centralized pooled,,pooled,slider,-6dB,9,0.8582674679812806,60,n3/logs/p1_norm_g4.log,204
master,norm_g1,1,p1_anchor_centralized_pooled_slider_0dB_s0.json,p1_anchor_centralized_pooled_slider_0dB_s0,centralized_pooled,Centralized pooled,,pooled,slider,0dB,0,0.9102443718006011,60,master/logs/p1_norm_g1.log,245
n3,norm_g2,2,p1_anchor_centralized_pooled_slider_0dB_s1.json,p1_anchor_centralized_pooled_slider_0dB_s1,centralized_pooled,Centralized pooled,,pooled,slider,0dB,1,0.917692435684226,60,n3/logs/p1_norm_g2.log,204
master,norm_g7,7,p1_anchor_centralized_pooled_slider_0dB_s2.json,p1_anchor_centralized_pooled_slider_0dB_s2,centralized_pooled,Centralized pooled,,pooled,slider,0dB,2,0.9047527977586617,60,master/logs/p1_norm_g7.log,202
n3,norm_g5,5,p1_anchor_centralized_pooled_slider_0dB_s3.json,p1_anchor_centralized_pooled_slider_0dB_s3,centralized_pooled,Centralized pooled,,pooled,slider,0dB,3,0.9035989813693884,60,n3/logs/p1_norm_g5.log,204
master,norm_g5,5,p1_anchor_centralized_pooled_slider_0dB_s4.json,p1_anchor_centralized_pooled_slider_0dB_s4,centralized_pooled,Centralized pooled,,pooled,slider,0dB,4,0.9159949998343464,60,master/logs/p1_norm_g5.log,245
n3,norm_g0,0,p1_anchor_centralized_pooled_slider_0dB_s5.json,p1_anchor_centralized_pooled_slider_0dB_s5,centralized_pooled,Centralized pooled,,pooled,slider,0dB,5,0.8971743730113577,60,n3/logs/p1_norm_g0.log,202
master,norm_g4,4,p1_anchor_centralized_pooled_slider_0dB_s6.json,p1_anchor_centralized_pooled_slider_0dB_s6,centralized_pooled,Centralized pooled,,pooled,slider,0dB,6,0.9033886003772448,60,master/logs/p1_norm_g4.log,245
n3,norm_g7,7,p1_anchor_centralized_pooled_slider_0dB_s7.json,p1_anchor_centralized_pooled_slider_0dB_s7,centralized_pooled,Centralized pooled,,pooled,slider,0dB,7,0.9103533828930672,60,n3/logs/p1_norm_g7.log,204
master,norm_g3,3,p1_anchor_centralized_pooled_slider_0dB_s8.json,p1_anchor_centralized_pooled_slider_0dB_s8,centralized_pooled,Centralized pooled,,pooled,slider,0dB,8,0.9199035519987516,60,master/logs/p1_norm_g3.log,245
n3,norm_g1,1,p1_anchor_centralized_pooled_slider_0dB_s9.json,p1_anchor_centralized_pooled_slider_0dB_s9,centralized_pooled,Centralized pooled,,pooled,slider,0dB,9,0.9103037407410934,60,n3/logs/p1_norm_g1.log,204
master,norm_g0,0,p1_anchor_centralized_pooled_slider_6dB_s0.json,p1_anchor_centralized_pooled_slider_6dB_s0,centralized_pooled,Centralized pooled,,pooled,slider,6dB,0,0.9520881130885538,60,master/logs/p1_norm_g0.log,247
n3,norm_g3,3,p1_anchor_centralized_pooled_slider_6dB_s1.json,p1_anchor_centralized_pooled_slider_6dB_s1,centralized_pooled,Centralized pooled,,pooled,slider,6dB,1,0.9590488059895567,60,n3/logs/p1_norm_g3.log,206
master,norm_g2,2,p1_anchor_centralized_pooled_slider_6dB_s2.json,p1_anchor_centralized_pooled_slider_6dB_s2,centralized_pooled,Centralized pooled,,pooled,slider,6dB,2,0.9475500324868606,60,master/logs/p1_norm_g2.log,247
n3,norm_g6,6,p1_anchor_centralized_pooled_slider_6dB_s3.json,p1_anchor_centralized_pooled_slider_6dB_s3,centralized_pooled,Centralized pooled,,pooled,slider,6dB,3,0.9521267403593283,60,n3/logs/p1_norm_g6.log,206
master,norm_g6,6,p1_anchor_centralized_pooled_slider_6dB_s4.json,p1_anchor_centralized_pooled_slider_6dB_s4,centralized_pooled,Centralized pooled,,pooled,slider,6dB,4,0.9643326314760161,60,master/logs/p1_norm_g6.log,249
n3,norm_g4,4,p1_anchor_centralized_pooled_slider_6dB_s5.json,p1_anchor_centralized_pooled_slider_6dB_s5,centralized_pooled,Centralized pooled,,pooled,slider,6dB,5,0.9589697651153818,60,n3/logs/p1_norm_g4.log,206
master,norm_g5,5,p1_anchor_centralized_pooled_slider_6dB_s6.json,p1_anchor_centralized_pooled_slider_6dB_s6,centralized_pooled,Centralized pooled,,pooled,slider,6dB,6,0.954511263842371,60,master/logs/p1_norm_g5.log,247
n3,norm_g2,2,p1_anchor_centralized_pooled_slider_6dB_s7.json,p1_anchor_centralized_pooled_slider_6dB_s7,centralized_pooled,Centralized pooled,,pooled,slider,6dB,7,0.9521396734742096,60,n3/logs/p1_norm_g2.log,206
master,norm_g1,1,p1_anchor_centralized_pooled_slider_6dB_s8.json,p1_anchor_centralized_pooled_slider_6dB_s8,centralized_pooled,Centralized pooled,,pooled,slider,6dB,8,0.9523741279790929,60,master/logs/p1_norm_g1.log,247
n3,norm_g5,5,p1_anchor_centralized_pooled_slider_6dB_s9.json,p1_anchor_centralized_pooled_slider_6dB_s9,centralized_pooled,Centralized pooled,,pooled,slider,6dB,9,0.9560883860864975,60,n3/logs/p1_norm_g5.log,206
master,norm_g7,7,p1_anchor_centralized_pooled_valve_-6dB_s0.json,p1_anchor_centralized_pooled_valve_-6dB_s0,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,0,0.5602625232050239,60,master/logs/p1_norm_g7.log,204
n3,norm_g0,0,p1_anchor_centralized_pooled_valve_-6dB_s1.json,p1_anchor_centralized_pooled_valve_-6dB_s1,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,1,0.5152975748738139,60,n3/logs/p1_norm_g0.log,204
master,norm_g3,3,p1_anchor_centralized_pooled_valve_-6dB_s2.json,p1_anchor_centralized_pooled_valve_-6dB_s2,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,2,0.5214322180244185,60,master/logs/p1_norm_g3.log,247
n3,norm_g7,7,p1_anchor_centralized_pooled_valve_-6dB_s3.json,p1_anchor_centralized_pooled_valve_-6dB_s3,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,3,0.5366124696983692,60,n3/logs/p1_norm_g7.log,206
master,norm_g4,4,p1_anchor_centralized_pooled_valve_-6dB_s4.json,p1_anchor_centralized_pooled_valve_-6dB_s4,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,4,0.513428999065858,60,master/logs/p1_norm_g4.log,247
n3,norm_g1,1,p1_anchor_centralized_pooled_valve_-6dB_s5.json,p1_anchor_centralized_pooled_valve_-6dB_s5,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,5,0.5146051863771335,60,n3/logs/p1_norm_g1.log,206
master,norm_g2,2,p1_anchor_centralized_pooled_valve_-6dB_s6.json,p1_anchor_centralized_pooled_valve_-6dB_s6,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,6,0.5398342002026973,60,master/logs/p1_norm_g2.log,249
n3,norm_g3,3,p1_anchor_centralized_pooled_valve_-6dB_s7.json,p1_anchor_centralized_pooled_valve_-6dB_s7,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,7,0.5368896169589081,60,n3/logs/p1_norm_g3.log,208
master,norm_g0,0,p1_anchor_centralized_pooled_valve_-6dB_s8.json,p1_anchor_centralized_pooled_valve_-6dB_s8,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,8,0.5337870633570694,60,master/logs/p1_norm_g0.log,249
n3,norm_g6,6,p1_anchor_centralized_pooled_valve_-6dB_s9.json,p1_anchor_centralized_pooled_valve_-6dB_s9,centralized_pooled,Centralized pooled,,pooled,valve,-6dB,9,0.5377131250346537,60,n3/logs/p1_norm_g6.log,208
master,norm_g6,6,p1_anchor_centralized_pooled_valve_0dB_s0.json,p1_anchor_centralized_pooled_valve_0dB_s0,centralized_pooled,Centralized pooled,,pooled,valve,0dB,0,0.6261456429148406,60,master/logs/p1_norm_g6.log,251
n3,norm_g4,4,p1_anchor_centralized_pooled_valve_0dB_s1.json,p1_anchor_centralized_pooled_valve_0dB_s1,centralized_pooled,Centralized pooled,,pooled,valve,0dB,1,0.612999306446665,60,n3/logs/p1_norm_g4.log,208
master,norm_g5,5,p1_anchor_centralized_pooled_valve_0dB_s2.json,p1_anchor_centralized_pooled_valve_0dB_s2,centralized_pooled,Centralized pooled,,pooled,valve,0dB,2,0.6023300914148356,60,master/logs/p1_norm_g5.log,249
n3,norm_g5,5,p1_anchor_centralized_pooled_valve_0dB_s3.json,p1_anchor_centralized_pooled_valve_0dB_s3,centralized_pooled,Centralized pooled,,pooled,valve,0dB,3,0.6081489290510651,60,n3/logs/p1_norm_g5.log,208
master,norm_g1,1,p1_anchor_centralized_pooled_valve_0dB_s4.json,p1_anchor_centralized_pooled_valve_0dB_s4,centralized_pooled,Centralized pooled,,pooled,valve,0dB,4,0.6252830485517187,60,master/logs/p1_norm_g1.log,249
n3,norm_g2,2,p1_anchor_centralized_pooled_valve_0dB_s5.json,p1_anchor_centralized_pooled_valve_0dB_s5,centralized_pooled,Centralized pooled,,pooled,valve,0dB,5,0.6254501849814135,60,n3/logs/p1_norm_g2.log,208
master,norm_g4,4,p1_anchor_centralized_pooled_valve_0dB_s6.json,p1_anchor_centralized_pooled_valve_0dB_s6,centralized_pooled,Centralized pooled,,pooled,valve,0dB,6,0.6334739140151199,60,master/logs/p1_norm_g4.log,249
n3,norm_g0,0,p1_anchor_centralized_pooled_valve_0dB_s7.json,p1_anchor_centralized_pooled_valve_0dB_s7,centralized_pooled,Centralized pooled,,pooled,valve,0dB,7,0.6492297379637425,60,n3/logs/p1_norm_g0.log,206
master,norm_g7,7,p1_anchor_centralized_pooled_valve_0dB_s8.json,p1_anchor_centralized_pooled_valve_0dB_s8,centralized_pooled,Centralized pooled,,pooled,valve,0dB,8,0.6286828342116216,60,master/logs/p1_norm_g7.log,206
n3,norm_g7,7,p1_anchor_centralized_pooled_valve_0dB_s9.json,p1_anchor_centralized_pooled_valve_0dB_s9,centralized_pooled,Centralized pooled,,pooled,valve,0dB,9,0.6202129208425319,60,n3/logs/p1_norm_g7.log,208
master,norm_g3,3,p1_anchor_centralized_pooled_valve_6dB_s0.json,p1_anchor_centralized_pooled_valve_6dB_s0,centralized_pooled,Centralized pooled,,pooled,valve,6dB,0,0.7124019418303298,60,master/logs/p1_norm_g3.log,249
n3,norm_g1,1,p1_anchor_centralized_pooled_valve_6dB_s1.json,p1_anchor_centralized_pooled_valve_6dB_s1,centralized_pooled,Centralized pooled,,pooled,valve,6dB,1,0.7038387743395648,60,n3/logs/p1_norm_g1.log,208
