name,machine_type,section,algorithm,alpha,seed,auroc
p1e5_personalized_a100_toycar_sec01_s7,ToyCar,01,personalized,100.0,7,0.736468253968254
p1e5_personalized_a100_toycar_sec02_s7,ToyCar,02,personalized,100.0,7,0.7063888888888888
p1e5_personalized_a100_toytrain_sec00_s5,ToyTrain,00,personalized,100.0,5,0.4637842712842713
p1e5_personalized_a100_toytrain_sec01_s3,ToyTrain,01,personalized,100.0,3,0.5215694444444445
p1e5_personalized_a100_toytrain_sec02_s1,ToyTrain,02,personalized,100.0,1,0.7218670634920634
p1e5_personalized_a100_toytrain_sec02_s8,ToyTrain,02,personalized,100.0,8,0.8053571428571429
p1e5_clustered_fl_a0p05_toycar_sec00_s0,ToyCar,00,clustered_fl,0.05,0,0.7541666666666667
p1e5_clustered_fl_a0p05_toycar_sec01_s1,ToyCar,01,clustered_fl,0.05,1,0.7360452728099788
p1e5_clustered_fl_a0p05_toycar_sec01_s7,ToyCar,01,clustered_fl,0.05,7,0.7340277777777778
p1e5_clustered_fl_a0p05_toycar_sec02_s5,ToyCar,02,clustered_fl,0.05,5,0.5288574851074851
p1e5_clustered_fl_a0p05_toytrain_sec00_s3,ToyTrain,00,clustered_fl,0.05,3,0.4980688582251082
p1e5_clustered_fl_a0p05_toytrain_sec01_s1,ToyTrain,01,clustered_fl,0.05,1,0.6205229955229955
p1e5_clustered_fl_a0p05_toytrain_sec02_s2,ToyTrain,02,clustered_fl,0.05,2,0.7664588670966221
p1e5_clustered_fl_a0p05_toytrain_sec02_s9,ToyTrain,02,clustered_fl,0.05,9,0.7889484126984126
p1e5_clustered_fl_a100_toycar_sec00_s7,ToyCar,00,clustered_fl,100.0,7,0.6582142857142859
p1e5_clustered_fl_a100_toycar_sec01_s5,ToyCar,01,clustered_fl,100.0,5,0.7444444444444445
p1e5_clustered_fl_a100_toycar_sec02_s2,ToyCar,02,clustered_fl,100.0,2,0.7205051892551892
p1e5_clustered_fl_a100_toycar_sec02_s8,ToyCar,02,clustered_fl,100.0,8,0.6366666666666666
p1e5_clustered_fl_a100_toytrain_sec00_s9,ToyTrain,00,clustered_fl,100.0,9,0.536452380952381
p1e5_clustered_fl_a100_toytrain_sec01_s7,ToyTrain,01,clustered_fl,100.0,7,0.638829365079365
p1e5_clustered_fl_a100_toytrain_sec02_s5,ToyTrain,02,clustered_fl,100.0,5,0.7991305916305915
p1e5_fedavg_a0p05_toycar_sec00_s5,ToyCar,00,fedavg,0.05,5,0.5573247911210873
p1e5_fedavg_a0p05_toycar_sec01_s3,ToyCar,01,fedavg,0.05,3,0.7384405848995632
p1e5_fedavg_a0p05_toycar_sec02_s1,ToyCar,02,fedavg,0.05,1,0.7796830484330485
p1e5_fedavg_a0p05_toytrain_sec00_s1,ToyTrain,00,fedavg,0.05,1,0.5012820512820513
p1e5_fedavg_a0p05_toytrain_sec00_s9,ToyTrain,00,fedavg,0.05,9,0.5126195957465308
p1e5_fedavg_a0p05_toytrain_sec01_s6,ToyTrain,01,fedavg,0.05,6,0.6667439703153989
p1e5_fedavg_a0p05_toytrain_sec02_s5,ToyTrain,02,fedavg,0.05,5,0.7581575170860885
p1e5_fedavg_a100_toycar_sec00_s3,ToyCar,00,fedavg,100.0,3,0.6268928571428571
p1e5_fedavg_a100_toycar_sec01_s1,ToyCar,01,fedavg,100.0,1,0.8121904761904762
p1e5_fedavg_a100_toycar_sec01_s7,ToyCar,01,fedavg,100.0,7,0.7511904761904762
p1e5_fedavg_a100_toycar_sec02_s5,ToyCar,02,fedavg,100.0,5,0.7052218614718615
p1e5_fedavg_a100_toytrain_sec00_s3,ToyTrain,00,fedavg,100.0,3,0.5126567460317462
p1e5_fedavg_a100_toytrain_sec01_s1,ToyTrain,01,fedavg,100.0,1,0.5666170634920634
p1e5_fedavg_a100_toytrain_sec01_s9,ToyTrain,01,fedavg,100.0,9,0.6583571428571429
p1e5_fedavg_a100_toytrain_sec02_s7,ToyTrain,02,fedavg,100.0,7,0.7747619047619048
p1e5_fedprox_a0p05_toycar_sec00_s5,ToyCar,00,fedprox,0.05,5,0.4734926424741239
p1e5_fedprox_a0p05_toycar_sec01_s3,ToyCar,01,fedprox,0.05,3,0.8402587211120494
p1e5_fedprox_a0p05_toycar_sec01_s6,ToyCar,01,fedprox,0.05,6,0.7967340639959687
p1e5_fedprox_a0p05_toycar_sec02_s5,ToyCar,02,fedprox,0.05,5,0.6059330550401979
p1e5_fedprox_a0p05_toytrain_sec00_s5,ToyTrain,00,fedprox,0.05,5,0.46147959183673476
p1e5_fedprox_a0p05_toytrain_sec01_s4,ToyTrain,01,fedprox,0.05,4,0.616453876236485
p1e5_fedprox_a0p05_toytrain_sec01_s8,ToyTrain,01,fedprox,0.05,8,0.6440268065268066
p1e5_fedprox_a0p05_toytrain_sec02_s6,ToyTrain,02,fedprox,0.05,6,0.7943643657929372
p1e5_fedprox_a100_toycar_sec00_s5,ToyCar,00,fedprox,100.0,5,0.4905681818181818
p1e5_fedprox_a100_toycar_sec01_s5,ToyCar,01,fedprox,100.0,5,0.7319444444444445
p1e5_fedprox_a100_toycar_sec02_s3,ToyCar,02,fedprox,100.0,3,0.8057857142857141
p1e5_fedprox_a100_toytrain_sec00_s2,ToyTrain,00,fedprox,100.0,2,0.45397283272283273
p1e5_fedprox_a100_toytrain_sec01_s2,ToyTrain,01,fedprox,100.0,2,0.5967170329670329
p1e5_fedprox_a100_toytrain_sec02_s1,ToyTrain,02,fedprox,100.0,1,0.6720595238095237
p1e5_fedprox_a100_toytrain_sec02_s9,ToyTrain,02,fedprox,100.0,9,0.7118690476190477
p1e5_personalized_a0p05_toycar_sec00_s7,ToyCar,00,personalized,0.05,7,0.7196164560747894
p1e5_personalized_a0p05_toycar_sec01_s3,ToyCar,01,personalized,0.05,3,0.7559572440087147
p1e5_personalized_a0p05_toycar_sec02_s2,ToyCar,02,personalized,0.05,2,0.7765238095238095
p1e5_personalized_a0p05_toycar_sec02_s8,ToyCar,02,personalized,0.05,8,0.8033501221001221
p1e5_personalized_a0p05_toytrain_sec00_s7,ToyTrain,00,personalized,0.05,7,0.499475986975987
p1e5_personalized_a0p05_toytrain_sec01_s5,ToyTrain,01,personalized,0.05,5,0.5418233552162124
p1e5_personalized_a0p05_toytrain_sec02_s4,ToyTrain,02,personalized,0.05,4,0.7877817381893469
p1e5_personalized_a0p05_toytrain_sec02_s9,ToyTrain,02,personalized,0.05,9,0.7966437728937729
p1e5_personalized_a100_toycar_sec00_s7,ToyCar,00,personalized,100.0,7,0.679047619047619
p1e5_personalized_a100_toycar_sec01_s3,ToyCar,01,personalized,100.0,3,0.8317142857142856
p1e5_personalized_a100_toycar_sec02_s1,ToyCar,02,personalized,100.0,1,0.7260634920634922
p1e5_personalized_a100_toytrain_sec00_s0,ToyTrain,00,personalized,100.0,0,0.5101190476190477
p1e5_personalized_a100_toytrain_sec00_s7,ToyTrain,00,personalized,100.0,7,0.4732440476190476
p1e5_personalized_a100_toytrain_sec01_s5,ToyTrain,01,personalized,100.0,5,0.6305284992784992
p1e5_personalized_a100_toytrain_sec02_s4,ToyTrain,02,personalized,100.0,4,0.7565079365079365
p1e5_clustered_fl_a0p05_toycar_sec00_s2,ToyCar,00,clustered_fl,0.05,2,0.6404897139610762
p1e5_clustered_fl_a0p05_toycar_sec00_s8,ToyCar,00,clustered_fl,0.05,8,0.5410934744268078
p1e5_clustered_fl_a0p05_toycar_sec01_s8,ToyCar,01,clustered_fl,0.05,8,0.8414357864357864
p1e5_clustered_fl_a0p05_toycar_sec02_s4,ToyCar,02,clustered_fl,0.05,4,0.8234702093397747
p1e5_clustered_fl_a0p05_toytrain_sec00_s4,ToyTrain,00,clustered_fl,0.05,4,0.5152557319223985
p1e5_clustered_fl_a0p05_toytrain_sec01_s4,ToyTrain,01,clustered_fl,0.05,4,0.6252179664136186
p1e5_clustered_fl_a0p05_toytrain_sec02_s3,ToyTrain,02,clustered_fl,0.05,3,0.8102033995416349
p1e5_clustered_fl_a100_toycar_sec00_s1,ToyCar,00,clustered_fl,100.0,1,0.6059246031746032
p1e5_clustered_fl_a100_toycar_sec00_s8,ToyCar,00,clustered_fl,100.0,8,0.7359126984126985
p1e5_clustered_fl_a100_toycar_sec01_s6,ToyCar,01,clustered_fl,100.0,6,0.7827083333333333
p1e5_clustered_fl_a100_toycar_sec02_s4,ToyCar,02,clustered_fl,100.0,4,0.7407936507936508
p1e5_clustered_fl_a100_toytrain_sec00_s2,ToyTrain,00,clustered_fl,100.0,2,0.4540613553113553
p1e5_clustered_fl_a100_toytrain_sec00_s8,ToyTrain,00,clustered_fl,100.0,8,0.46920634920634924
p1e5_clustered_fl_a100_toytrain_sec01_s6,ToyTrain,01,clustered_fl,100.0,6,0.6345238095238096
p1e5_clustered_fl_a100_toytrain_sec02_s4,ToyTrain,02,clustered_fl,100.0,4,0.7499603174603175
p1e5_fedavg_a0p05_toycar_sec00_s4,ToyCar,00,fedavg,0.05,4,0.7327342300556586
p1e5_fedavg_a0p05_toycar_sec01_s4,ToyCar,01,fedavg,0.05,4,0.8624860646599778
p1e5_fedavg_a0p05_toycar_sec02_s2,ToyCar,02,fedavg,0.05,2,0.764047619047619
p1e5_fedavg_a0p05_toytrain_sec00_s0,ToyTrain,00,fedavg,0.05,0,0.4403578390420495
p1e5_fedavg_a0p05_toytrain_sec00_s8,ToyTrain,00,fedavg,0.05,8,0.36425765592432263
p1e5_fedavg_a0p05_toytrain_sec01_s7,ToyTrain,01,fedavg,0.05,7,0.6719281045751634
p1e5_fedavg_a0p05_toytrain_sec02_s4,ToyTrain,02,fedavg,0.05,4,0.8029324691009473
p1e5_fedavg_a100_toycar_sec00_s2,ToyCar,00,fedavg,100.0,2,0.7070573870573871
p1e5_fedavg_a100_toycar_sec00_s9,ToyCar,00,fedavg,100.0,9,0.6893690476190477
p1e5_fedavg_a100_toycar_sec01_s8,ToyCar,01,fedavg,100.0,8,0.7776587301587302
p1e5_fedavg_a100_toycar_sec02_s6,ToyCar,02,fedavg,100.0,6,0.6782242063492063
p1e5_fedavg_a100_toytrain_sec00_s5,ToyTrain,00,fedavg,100.0,5,0.4702849927849928
p1e5_fedavg_a100_toytrain_sec01_s2,ToyTrain,01,fedavg,100.0,2,0.6319139194139194
p1e5_fedavg_a100_toytrain_sec02_s0,ToyTrain,02,fedavg,100.0,0,0.7528571428571429
p1e5_fedavg_a100_toytrain_sec02_s8,ToyTrain,02,fedavg,100.0,8,0.7954761904761904
p1e5_fedprox_a0p05_toycar_sec00_s6,ToyCar,00,fedprox,0.05,6,0.5708616780045351
p1e5_fedprox_a0p05_toycar_sec01_s4,ToyCar,01,fedprox,0.05,4,0.8502203110898763
p1e5_fedprox_a0p05_toycar_sec02_s1,ToyCar,02,fedprox,0.05,1,0.7854166666666668
p1e5_fedprox_a0p05_toytrain_sec00_s0,ToyTrain,00,fedprox,0.05,0,0.4857839042049569
p1e5_fedprox_a0p05_toytrain_sec00_s9,ToyTrain,00,fedprox,0.05,9,0.5141004849983178
p1e5_fedprox_a0p05_toytrain_sec01_s7,ToyTrain,01,fedprox,0.05,7,0.6667398070339247
p1e5_fedprox_a0p05_toytrain_sec02_s4,ToyTrain,02,fedprox,0.05,4,0.7660422156346071
p1e5_fedprox_a100_toycar_sec00_s2,ToyCar,00,fedprox,100.0,2,0.6818925518925519
p1e5_fedprox_a100_toycar_sec01_s0,ToyCar,01,fedprox,100.0,0,0.8041666666666668
p1e5_fedprox_a100_toycar_sec01_s9,ToyCar,01,fedprox,100.0,9,0.6124642857142857
p1e5_fedprox_a100_toycar_sec02_s7,ToyCar,02,fedprox,100.0,7,0.6591865079365079
p1e5_fedprox_a100_toytrain_sec00_s5,ToyTrain,00,fedprox,100.0,5,0.4328066378066378
p1e5_fedprox_a100_toytrain_sec01_s0,ToyTrain,01,fedprox,100.0,0,0.5590773809523809
p1e5_fedprox_a100_toytrain_sec01_s9,ToyTrain,01,fedprox,100.0,9,0.623297619047619
p1e5_fedprox_a100_toytrain_sec02_s6,ToyTrain,02,fedprox,100.0,6,0.6634226190476191
p1e5_personalized_a0p05_toycar_sec00_s4,ToyCar,00,personalized,0.05,4,0.7182642754071327
p1e5_personalized_a0p05_toycar_sec01_s2,ToyCar,01,personalized,0.05,2,0.7629665968951683
p1e5_personalized_a0p05_toycar_sec01_s9,ToyCar,01,personalized,0.05,9,0.7920965608465608
p1e5_personalized_a0p05_toycar_sec02_s9,ToyCar,02,personalized,0.05,9,0.7611904761904762
p1e5_personalized_a0p05_toytrain_sec00_s6,ToyTrain,00,personalized,0.05,6,0.43353375020041685
p1e5_personalized_a0p05_toytrain_sec01_s4,ToyTrain,01,personalized,0.05,4,0.6279595123073384
p1e5_personalized_a0p05_toytrain_sec02_s2,ToyTrain,02,personalized,0.05,2,0.7957985466914039
p1e5_personalized_a100_toycar_sec00_s0,ToyCar,00,personalized,100.0,0,0.7280952380952381
p1e5_personalized_a100_toycar_sec00_s8,ToyCar,00,personalized,100.0,8,0.7698809523809523
p1e5_personalized_a100_toycar_sec01_s6,ToyCar,01,personalized,100.0,6,0.7988392857142859
p1e5_personalized_a100_toycar_sec02_s4,ToyCar,02,personalized,100.0,4,0.7011111111111111
p1e5_personalized_a100_toytrain_sec00_s2,ToyTrain,00,personalized,100.0,2,0.46445970695970684
p1e5_personalized_a100_toytrain_sec01_s1,ToyTrain,01,personalized,100.0,1,0.579313492063492
p1e5_personalized_a100_toytrain_sec01_s7,ToyTrain,01,personalized,100.0,7,0.6525396825396825
p1e5_personalized_a100_toytrain_sec02_s6,ToyTrain,02,personalized,100.0,6,0.7563690476190477
p1e5_clustered_fl_a0p05_toycar_sec00_s5,ToyCar,00,clustered_fl,0.05,5,0.6479766803840877
p1e5_clustered_fl_a0p05_toycar_sec01_s4,ToyCar,01,clustered_fl,0.05,4,0.8385517863778733
p1e5_clustered_fl_a0p05_toycar_sec02_s2,ToyCar,02,clustered_fl,0.05,2,0.7599047619047619
p1e5_clustered_fl_a0p05_toycar_sec02_s9,ToyCar,02,clustered_fl,0.05,9,0.7497916666666666
p1e5_clustered_fl_a0p05_toytrain_sec00_s7,ToyTrain,00,clustered_fl,0.05,7,0.49994588744588747
p1e5_clustered_fl_a0p05_toytrain_sec01_s5,ToyTrain,01,clustered_fl,0.05,5,0.522306265163408
p1e5_clustered_fl_a0p05_toytrain_sec02_s0,ToyTrain,02,clustered_fl,0.05,0,0.7956562049062049
p1e5_clustered_fl_a100_toycar_sec00_s0,ToyCar,00,clustered_fl,100.0,0,0.7183630952380952
p1e5_clustered_fl_a100_toycar_sec00_s9,ToyCar,00,clustered_fl,100.0,9,0.6511547619047618
p1e5_clustered_fl_a100_toycar_sec01_s7,ToyCar,01,clustered_fl,100.0,7,0.766547619047619
p1e5_clustered_fl_a100_toycar_sec02_s5,ToyCar,02,clustered_fl,100.0,5,0.7377344877344878
p1e5_clustered_fl_a100_toytrain_sec00_s3,ToyTrain,00,clustered_fl,100.0,3,0.4938849206349206
p1e5_clustered_fl_a100_toytrain_sec01_s0,ToyTrain,01,clustered_fl,100.0,0,0.6314880952380952
p1e5_clustered_fl_a100_toytrain_sec02_s0,ToyTrain,02,clustered_fl,100.0,0,0.7385416666666667
p1e5_clustered_fl_a100_toytrain_sec02_s9,ToyTrain,02,clustered_fl,100.0,9,0.7542500000000001
p1e5_fedavg_a0p05_toycar_sec00_s7,ToyCar,00,fedavg,0.05,7,0.7472226461809796
p1e5_fedavg_a0p05_toycar_sec01_s5,ToyCar,01,fedavg,0.05,5,0.8910790598290598
p1e5_fedavg_a0p05_toycar_sec02_s3,ToyCar,02,fedavg,0.05,3,0.8258980980749556
p1e5_fedavg_a0p05_toycar_sec02_s8,ToyCar,02,fedavg,0.05,8,0.803417069042069
p1e5_fedavg_a0p05_toytrain_sec00_s6,ToyTrain,00,fedavg,0.05,6,0.44118967452300784
p1e5_fedavg_a0p05_toytrain_sec01_s4,ToyTrain,01,fedavg,0.05,4,0.6317632850241547
p1e5_fedavg_a0p05_toytrain_sec02_s2,ToyTrain,02,fedavg,0.05,2,0.7936749050269459
p1e5_fedavg_a0p05_toytrain_sec02_s9,ToyTrain,02,fedavg,0.05,9,0.8037561050061051
p1e5_fedavg_a100_toycar_sec00_s8,ToyCar,00,fedavg,100.0,8,0.7488492063492064
p1e5_fedavg_a100_toycar_sec01_s6,ToyCar,01,fedavg,100.0,6,0.7698313492063492
p1e5_fedavg_a100_toycar_sec02_s3,ToyCar,02,fedavg,100.0,3,0.837142857142857
p1e5_fedavg_a100_toytrain_sec00_s2,ToyTrain,00,fedavg,100.0,2,0.470819597069597
p1e5_fedavg_a100_toytrain_sec00_s9,ToyTrain,00,fedavg,100.0,9,0.5169761904761905
p1e5_fedavg_a100_toytrain_sec01_s7,ToyTrain,01,fedavg,100.0,7,0.6550198412698413
p1e5_fedavg_a100_toytrain_sec02_s5,ToyTrain,02,fedavg,100.0,5,0.7619660894660895
p1e5_fedprox_a0p05_toycar_sec00_s4,ToyCar,00,fedprox,0.05,4,0.6744295634920634
p1e5_fedprox_a0p05_toycar_sec01_s2,ToyCar,01,fedprox,0.05,2,0.8386054421768707
p1e5_fedprox_a0p05_toycar_sec01_s9,ToyCar,01,fedprox,0.05,9,0.8116159611992946
p1e5_fedprox_a0p05_toytrain_sec00_s1,ToyTrain,00,fedprox,0.05,1,0.5865003052503053
p1e5_fedprox_a0p05_toytrain_sec00_s8,ToyTrain,00,fedprox,0.05,8,0.40945452254976067
p1e5_fedprox_a0p05_toytrain_sec01_s5,ToyTrain,01,fedprox,0.05,5,0.5232044740973312
p1e5_fedprox_a0p05_toytrain_sec02_s5,ToyTrain,02,fedprox,0.05,5,0.7609817761603476
p1e5_fedprox_a100_toycar_sec00_s3,ToyCar,00,fedprox,100.0,3,0.5520753968253969
p1e5_fedprox_a100_toycar_sec01_s1,ToyCar,01,fedprox,100.0,1,0.758952380952381
p1e5_fedprox_a100_toycar_sec01_s8,ToyCar,01,fedprox,100.0,8,0.7911111111111111
p1e5_fedprox_a100_toycar_sec02_s6,ToyCar,02,fedprox,100.0,6,0.667906746031746
p1e5_fedprox_a100_toytrain_sec00_s4,ToyTrain,00,fedprox,100.0,4,0.4019179894179894
p1e5_fedprox_a100_toytrain_sec01_s1,ToyTrain,01,fedprox,100.0,1,0.5698472222222223
p1e5_fedprox_a100_toytrain_sec02_s0,ToyTrain,02,fedprox,100.0,0,0.703779761904762
p1e5_fedprox_a100_toytrain_sec02_s8,ToyTrain,02,fedprox,100.0,8,0.7736706349206349
p1e5_personalized_a0p05_toycar_sec00_s5,ToyCar,00,personalized,0.05,5,0.5623752961715924
p1e5_personalized_a0p05_toycar_sec01_s4,ToyCar,01,personalized,0.05,4,0.8705526357700272
p1e5_personalized_a0p05_toycar_sec02_s3,ToyCar,02,personalized,0.05,3,0.800575416370695
p1e5_personalized_a0p05_toytrain_sec00_s1,ToyTrain,00,personalized,0.05,1,0.5430345695970696
p1e5_personalized_a0p05_toytrain_sec00_s8,ToyTrain,00,personalized,0.05,8,0.39828214113928395
p1e5_personalized_a0p05_toytrain_sec01_s6,ToyTrain,01,personalized,0.05,6,0.6810863739435169
p1e5_personalized_a0p05_toytrain_sec02_s3,ToyTrain,02,personalized,0.05,3,0.8098509559326124
p1e5_personalized_a100_toycar_sec00_s1,ToyCar,00,personalized,100.0,1,0.6089980158730158
p1e5_personalized_a100_toycar_sec01_s0,ToyCar,01,personalized,100.0,0,0.8220833333333333
p1e5_personalized_a100_toycar_sec01_s9,ToyCar,01,personalized,100.0,9,0.6442738095238095
p1e5_personalized_a100_toycar_sec02_s6,ToyCar,02,personalized,100.0,6,0.7143353174603174
p1e5_personalized_a100_toytrain_sec00_s4,ToyTrain,00,personalized,100.0,4,0.3945238095238095
p1e5_personalized_a100_toytrain_sec01_s2,ToyTrain,01,personalized,100.0,2,0.6481105006105007
p1e5_personalized_a100_toytrain_sec02_s0,ToyTrain,02,personalized,100.0,0,0.7433928571428571
p1e5_personalized_a100_toytrain_sec02_s9,ToyTrain,02,personalized,100.0,9,0.7628809523809524
p1e5_clustered_fl_a0p05_toycar_sec00_s7,ToyCar,00,clustered_fl,0.05,7,0.7356003178919845
p1e5_clustered_fl_a0p05_toycar_sec01_s5,ToyCar,01,clustered_fl,0.05,5,0.9058836996336996
p1e5_clustered_fl_a0p05_toycar_sec02_s3,ToyCar,02,clustered_fl,0.05,3,0.7455535982335518
p1e5_clustered_fl_a0p05_toycar_sec02_s8,ToyCar,02,clustered_fl,0.05,8,0.7130879537129537
p1e5_clustered_fl_a0p05_toytrain_sec00_s6,ToyTrain,00,clustered_fl,0.05,6,0.5096395797376191
p1e5_clustered_fl_a0p05_toytrain_sec01_s0,ToyTrain,01,clustered_fl,0.05,0,0.5790369189633895
p1e5_clustered_fl_a0p05_toytrain_sec01_s9,ToyTrain,01,clustered_fl,0.05,9,0.7026796616082329
p1e5_clustered_fl_a0p05_toytrain_sec02_s6,ToyTrain,02,clustered_fl,0.05,6,0.8096316382030668
p1e5_clustered_fl_a100_toycar_sec00_s5,ToyCar,00,clustered_fl,100.0,5,0.5409253246753247
p1e5_clustered_fl_a100_toycar_sec01_s3,ToyCar,01,clustered_fl,100.0,3,0.847172619047619
p1e5_clustered_fl_a100_toycar_sec02_s0,ToyCar,02,clustered_fl,100.0,0,0.8482142857142858
p1e5_clustered_fl_a100_toycar_sec02_s9,ToyCar,02,clustered_fl,100.0,9,0.6580595238095238
p1e5_clustered_fl_a100_toytrain_sec01_s1,ToyTrain,01,clustered_fl,100.0,1,0.5696329365079366
p1e5_clustered_fl_a100_toytrain_sec02_s1,ToyTrain,02,clustered_fl,100.0,1,0.6685337301587301
p1e5_clustered_fl_a100_toytrain_sec02_s8,ToyTrain,02,clustered_fl,100.0,8,0.8082738095238096
