node,worker,algorithm,alpha,machine_type,db_level,seed,auroc
master,g6,clustered_fl,a0p05,fan,0dB,13,0.8530810649470475
n3,g6,clustered_fl,a0p05,fan,0dB,14,0.7770765199680787
master,g4,clustered_fl,a0p05,fan,0dB,15,0.7529003476904789
n1,g5,clustered_fl,a0p05,fan,0dB,16,0.7107181687613879
n3,g3,clustered_fl,a0p05,fan,0dB,17,0.7339878131468405
master,g0,clustered_fl,a0p05,fan,0dB,18,0.8229008111908034
n3,g5,clustered_fl,a0p05,fan,0dB,19,0.7758983651779237
master,g4,clustered_fl,a0p05,fan,6dB,0,0.9350979789343946
n3,g6,clustered_fl,a0p05,fan,6dB,1,0.9507791833795673
master,g2,clustered_fl,a0p05,fan,6dB,2,0.9651844853640783
n1,g4,clustered_fl,a0p05,fan,6dB,3,0.9367470530277109
n3,g4,clustered_fl,a0p05,fan,6dB,4,0.878100900496087
master,g7,clustered_fl,a0p05,fan,6dB,5,0.9182608091876381
n3,g3,clustered_fl,a0p05,fan,6dB,6,0.9500303956531528
master,g6,clustered_fl,a0p05,fan,6dB,7,0.9614104577656502
n1,g6,clustered_fl,a0p05,fan,6dB,8,0.8836490907832486
n3,g0,clustered_fl,a0p05,fan,6dB,9,0.8913676985109872
master,g0,clustered_fl,a0p05,fan,6dB,10,0.9233199982895602
n3,g1,clustered_fl,a0p05,fan,6dB,11,0.8944550576327208
master,g3,clustered_fl,a0p05,fan,6dB,12,0.9463708563597747
n1,g5,clustered_fl,a0p05,fan,6dB,13,0.9330987469590234
n3,g7,clustered_fl,a0p05,fan,6dB,14,0.8130406308422999
master,g5,clustered_fl,a0p05,fan,6dB,15,0.8597681576533827
n3,g5,clustered_fl,a0p05,fan,6dB,16,0.8851963032595573
master,g1,clustered_fl,a0p05,fan,6dB,17,0.9488060327486695
n1,g7,clustered_fl,a0p05,fan,6dB,18,0.9305284406995986
n3,g2,clustered_fl,a0p05,fan,6dB,19,0.8753598459456369
n3,g0,clustered_fl,a0p05,pump,-6dB,0,0.731536958475606
master,g0,clustered_fl,a0p05,pump,-6dB,1,0.7209122135212064
n3,g2,clustered_fl,a0p05,pump,-6dB,2,0.6938861500269098
master,g3,clustered_fl,a0p05,pump,-6dB,3,0.7438743559394636
n1,g5,clustered_fl,a0p05,pump,-6dB,4,0.6355552879850773
n3,g5,clustered_fl,a0p05,pump,-6dB,5,0.6736096021667658
master,g5,clustered_fl,a0p05,pump,-6dB,6,0.6727415390846156
n3,g3,clustered_fl,a0p05,pump,-6dB,7,0.6904197556437537
master,g2,clustered_fl,a0p05,pump,-6dB,8,0.5839931074371105
n1,g4,clustered_fl,a0p05,pump,-6dB,9,0.6584372894454131
n3,g7,clustered_fl,a0p05,pump,-6dB,10,0.692015460281758
master,g1,clustered_fl,a0p05,pump,-6dB,11,0.6946587162407817
n3,g6,clustered_fl,a0p05,pump,-6dB,12,0.728620629857925
master,g6,clustered_fl,a0p05,pump,-6dB,13,0.7229269472076856
n1,g6,clustered_fl,a0p05,pump,-6dB,14,0.642997721793709
n3,g4,clustered_fl,a0p05,pump,-6dB,15,0.6089212472800338
master,g4,clustered_fl,a0p05,pump,-6dB,16,0.6286724708595753
n3,g1,clustered_fl,a0p05,pump,-6dB,17,0.7661933865358559
master,g7,clustered_fl,a0p05,pump,-6dB,18,0.6786384734693069
n1,g7,clustered_fl,a0p05,pump,-6dB,19,0.6704585936167395
master,g5,clustered_fl,a0p05,pump,0dB,0,0.8196112506511575
n1,g7,clustered_fl,a0p05,pump,0dB,1,0.6951280279557828
n3,g0,clustered_fl,a0p05,pump,0dB,2,0.7679556206719139
master,g0,clustered_fl,a0p05,pump,0dB,3,0.7507958735957756
n3,g5,clustered_fl,a0p05,pump,0dB,4,0.7882314963739602
master,g2,clustered_fl,a0p05,pump,0dB,5,0.7165791629782539
n1,g6,clustered_fl,a0p05,pump,0dB,6,0.66448293460451
n3,g2,clustered_fl,a0p05,pump,0dB,7,0.7681244220862335
master,g3,clustered_fl,a0p05,pump,0dB,8,0.7084441517407363
n3,g6,clustered_fl,a0p05,pump,0dB,9,0.7417912312704068
master,g7,clustered_fl,a0p05,pump,0dB,10,0.7746071781473038
n1,g5,clustered_fl,a0p05,pump,0dB,11,0.73057585863007
n3,g4,clustered_fl,a0p05,pump,0dB,12,0.8259546423011537
master,g1,clustered_fl,a0p05,pump,0dB,13,0.7955902187633692
n3,g7,clustered_fl,a0p05,pump,0dB,14,0.6630763580962932
master,g6,clustered_fl,a0p05,pump,0dB,15,0.7351207423753908
n1,g4,clustered_fl,a0p05,pump,0dB,16,0.8115370357037194
n3,g3,clustered_fl,a0p05,pump,0dB,17,0.8154500610628674
master,g4,clustered_fl,a0p05,pump,0dB,18,0.7801649108118741
n3,g1,clustered_fl,a0p05,pump,0dB,19,0.6762742883566464
master,g6,clustered_fl,a0p05,pump,6dB,0,0.8750927382688667
n3,g6,clustered_fl,a0p05,pump,6dB,1,0.7659321222275071
master,g1,clustered_fl,a0p05,pump,6dB,2,0.8248560037876871
n1,g4,clustered_fl,a0p05,pump,6dB,3,0.8154036803107625
n3,g7,clustered_fl,a0p05,pump,6dB,4,0.8110090883599076
master,g3,clustered_fl,a0p05,pump,6dB,5,0.7152188628297615
n3,g5,clustered_fl,a0p05,pump,6dB,6,0.736501721928706
master,g2,clustered_fl,a0p05,pump,6dB,7,0.8425893054552924
n1,g6,clustered_fl,a0p05,pump,6dB,8,0.7570875377810989
n3,g0,clustered_fl,a0p05,pump,6dB,9,0.8654275420219595
master,g5,clustered_fl,a0p05,pump,6dB,10,0.8295631914023724
n3,g1,clustered_fl,a0p05,pump,6dB,11,0.8206123090331563
master,g0,clustered_fl,a0p05,pump,6dB,12,0.9028644259901579
n1,g7,clustered_fl,a0p05,pump,6dB,13,0.86257348335054
n3,g2,clustered_fl,a0p05,pump,6dB,14,0.7911135328083443
master,g7,clustered_fl,a0p05,pump,6dB,15,0.812602113545394
n3,g3,clustered_fl,a0p05,pump,6dB,16,0.8909403338922592
master,g4,clustered_fl,a0p05,pump,6dB,17,0.875370293483398
n1,g5,clustered_fl,a0p05,pump,6dB,18,0.8673437654650745
n3,g4,clustered_fl,a0p05,pump,6dB,19,0.8257016673391266
n3,g3,clustered_fl,a0p05,slider,-6dB,0,0.8483198590747962
master,g6,clustered_fl,a0p05,slider,-6dB,1,0.7574790829074705
n3,g4,clustered_fl,a0p05,slider,-6dB,2,0.785225035689897
master,g2,clustered_fl,a0p05,slider,-6dB,3,0.749068923653104
n1,g7,clustered_fl,a0p05,slider,-6dB,4,0.7661250823026537
n3,g7,clustered_fl,a0p05,slider,-6dB,5,0.7364373266469492
master,g3,clustered_fl,a0p05,slider,-6dB,6,0.8626167221101563
n3,g0,clustered_fl,a0p05,slider,-6dB,7,0.7719053401974099
master,g1,clustered_fl,a0p05,slider,-6dB,8,0.7836347143351453
n1,g6,clustered_fl,a0p05,slider,-6dB,9,0.8080918925187388
n3,g6,clustered_fl,a0p05,slider,-6dB,10,0.7867375164853798
master,g0,clustered_fl,a0p05,slider,-6dB,11,0.7818976227972132
n3,g5,clustered_fl,a0p05,slider,-6dB,12,0.7676761852230592
master,g5,clustered_fl,a0p05,slider,-6dB,13,0.6599696617508498
n1,g4,clustered_fl,a0p05,slider,-6dB,14,0.8181874531264052
n3,g2,clustered_fl,a0p05,slider,-6dB,15,0.746869129912992
master,g7,clustered_fl,a0p05,slider,-6dB,16,0.7905320668561061
n3,g1,clustered_fl,a0p05,slider,-6dB,17,0.5960936880234109
master,g4,clustered_fl,a0p05,slider,-6dB,18,0.8243831150271151
n1,g5,clustered_fl,a0p05,slider,-6dB,19,0.8097081236415562
master,g6,clustered_fl,a0p05,slider,0dB,0,0.9196646927403473
n1,g7,clustered_fl,a0p05,slider,0dB,1,0.8670122284592925
n3,g4,clustered_fl,a0p05,slider,0dB,2,0.8444074886254472
master,g1,clustered_fl,a0p05,slider,0dB,3,0.8212963437715336
n3,g2,clustered_fl,a0p05,slider,0dB,4,0.8531209098658308
master,g3,clustered_fl,a0p05,slider,0dB,5,0.8836963277554479
n1,g5,clustered_fl,a0p05,slider,0dB,6,0.9263459395496229
n3,g0,clustered_fl,a0p05,slider,0dB,7,0.7806129924544297
master,g2,clustered_fl,a0p05,slider,0dB,8,0.8555163774607303
n3,g7,clustered_fl,a0p05,slider,0dB,9,0.8782091927902522
master,g4,clustered_fl,a0p05,slider,0dB,10,0.8216770409394099
n1,g4,clustered_fl,a0p05,slider,0dB,11,0.8507155889792628
n3,g5,clustered_fl,a0p05,slider,0dB,12,0.8411589545312774
master,g5,clustered_fl,a0p05,slider,0dB,13,0.8815037404819478
n3,g1,clustered_fl,a0p05,slider,0dB,14,0.8297556573049121
master,g0,clustered_fl,a0p05,slider,0dB,15,0.8009353821051208
n1,g6,clustered_fl,a0p05,slider,0dB,16,0.9166220256326548
n3,g6,clustered_fl,a0p05,slider,0dB,17,0.7362411488176033
master,g7,clustered_fl,a0p05,slider,0dB,18,0.8659034299996389
n3,g3,clustered_fl,a0p05,slider,0dB,19,0.8621159093237375
master,g4,clustered_fl,a0p05,slider,6dB,0,0.9780500550266947
n3,g6,clustered_fl,a0p05,slider,6dB,1,0.8987490428367556
master,g3,clustered_fl,a0p05,slider,6dB,2,0.8565040619169428
n1,g5,clustered_fl,a0p05,slider,6dB,3,0.86754207685019
n3,g2,clustered_fl,a0p05,slider,6dB,4,0.8942218298709417
master,g5,clustered_fl,a0p05,slider,6dB,5,0.8748856205627985
n3,g0,clustered_fl,a0p05,slider,6dB,6,0.9586969951124543
master,g2,clustered_fl,a0p05,slider,6dB,7,0.8681609586612171
n1,g4,clustered_fl,a0p05,slider,6dB,8,0.8307445104666723
n3,g1,clustered_fl,a0p05,slider,6dB,9,0.8998285117188469
master,g6,clustered_fl,a0p05,slider,6dB,10,0.9111116219168959
n3,g5,clustered_fl,a0p05,slider,6dB,11,0.8968985215382071
master,g7,clustered_fl,a0p05,slider,6dB,12,0.8936026629411822
n1,g6,clustered_fl,a0p05,slider,6dB,13,0.8658485317983193
n3,g7,clustered_fl,a0p05,slider,6dB,14,0.848297616418216
master,g0,clustered_fl,a0p05,slider,6dB,15,0.8446259254163097
n3,g4,clustered_fl,a0p05,slider,6dB,16,0.9174204953464706
master,g1,clustered_fl,a0p05,slider,6dB,17,0.8008218138997878
n1,g7,clustered_fl,a0p05,slider,6dB,18,0.9251596392482844
n3,g3,clustered_fl,a0p05,slider,6dB,19,0.8793330269999784
n3,g5,clustered_fl,a0p05,valve,-6dB,0,0.4682873726484789
master,g0,clustered_fl,a0p05,valve,-6dB,1,0.6391408705286792
n3,g0,clustered_fl,a0p05,valve,-6dB,2,0.4636282263630934
master,g1,clustered_fl,a0p05,valve,-6dB,3,0.4261323428601841
n1,g5,clustered_fl,a0p05,valve,-6dB,4,0.4344583556894828
n3,g1,clustered_fl,a0p05,valve,-6dB,5,0.528266695137348
master,g3,clustered_fl,a0p05,valve,-6dB,6,0.489641517003603
n3,g6,clustered_fl,a0p05,valve,-6dB,7,0.4371507342457192
master,g2,clustered_fl,a0p05,valve,-6dB,8,0.53571109282619
n1,g4,clustered_fl,a0p05,valve,-6dB,9,0.5285564307306965
n3,g3,clustered_fl,a0p05,valve,-6dB,10,0.548207460779822
master,g5,clustered_fl,a0p05,valve,-6dB,11,0.5918234549765996
n3,g7,clustered_fl,a0p05,valve,-6dB,12,0.4454287299299746
master,g4,clustered_fl,a0p05,valve,-6dB,13,0.510471519532057
n1,g6,clustered_fl,a0p05,valve,-6dB,14,0.4978164222755278
n3,g2,clustered_fl,a0p05,valve,-6dB,15,0.6321601262326502
master,g6,clustered_fl,a0p05,valve,-6dB,16,0.5215109240158682
n3,g4,clustered_fl,a0p05,valve,-6dB,17,0.4690285195339585
master,g7,clustered_fl,a0p05,valve,-6dB,18,0.4356220457377462
n1,g7,clustered_fl,a0p05,valve,-6dB,19,0.4716996955969078
master,g4,clustered_fl,a0p05,valve,0dB,0,0.5678008884504565
n1,g7,clustered_fl,a0p05,valve,0dB,1,0.5602403474275368
n3,g6,clustered_fl,a0p05,valve,0dB,2,0.6079758213392406
master,g0,clustered_fl,a0p05,valve,0dB,3,0.4466476342556903
n3,g2,clustered_fl,a0p05,valve,0dB,4,0.5374724000872212
master,g3,clustered_fl,a0p05,valve,0dB,5,0.5482153004207856
n1,g4,clustered_fl,a0p05,valve,0dB,6,0.5756936723082832
n3,g0,clustered_fl,a0p05,valve,0dB,7,0.516309851085626
master,g2,clustered_fl,a0p05,valve,0dB,8,0.4956109143354198
n3,g1,clustered_fl,a0p05,valve,0dB,9,0.6570516090266857
master,g7,clustered_fl,a0p05,valve,0dB,10,0.5546549874625586
n1,g5,clustered_fl,a0p05,valve,0dB,11,0.6715588395597584
n3,g3,clustered_fl,a0p05,valve,0dB,12,0.682921759120259
master,g6,clustered_fl,a0p05,valve,0dB,13,0.4033309075294134
n3,g4,clustered_fl,a0p05,valve,0dB,14,0.5148050038734827
master,g5,clustered_fl,a0p05,valve,0dB,15,0.674921395790095
n1,g6,clustered_fl,a0p05,valve,0dB,16,0.5622979804610598
n3,g5,clustered_fl,a0p05,valve,0dB,17,0.5703801832530397
master,g1,clustered_fl,a0p05,valve,0dB,18,0.5996040830614605
n3,g7,clustered_fl,a0p05,valve,0dB,19,0.5406279422486667
master,g6,clustered_fl,a0p05,valve,6dB,0,0.656244241969142
n3,g5,clustered_fl,a0p05,valve,6dB,1,0.6434160162217393
master,g0,clustered_fl,a0p05,valve,6dB,2,0.6069223542152902
n1,g7,clustered_fl,a0p05,valve,6dB,3,0.6654585466945547
n3,g1,clustered_fl,a0p05,valve,6dB,4,0.6274126971434719
master,g2,clustered_fl,a0p05,valve,6dB,5,0.5079727207353913
n3,g0,clustered_fl,a0p05,valve,6dB,6,0.6966790363847093
master,g7,clustered_fl,a0p05,valve,6dB,7,0.4867743699467429
n1,g4,clustered_fl,a0p05,valve,6dB,8,0.4413241560072946
n3,g6,clustered_fl,a0p05,valve,6dB,9,0.6725458421928767
master,g5,clustered_fl,a0p05,valve,6dB,10,0.6544733105199663
n3,g4,clustered_fl,a0p05,valve,6dB,11,0.7122228209267153
master,g4,clustered_fl,a0p05,valve,6dB,12,0.591940675723057
n1,g5,clustered_fl,a0p05,valve,6dB,13,0.5180665100434031
n3,g7,clustered_fl,a0p05,valve,6dB,14,0.6227666870783103
master,g3,clustered_fl,a0p05,valve,6dB,15,0.6907087706981417
n3,g2,clustered_fl,a0p05,valve,6dB,16,0.571835399605471
master,g1,clustered_fl,a0p05,valve,6dB,17,0.5676019375572436
n1,g6,clustered_fl,a0p05,valve,6dB,18,0.6833592101651081
n3,g3,clustered_fl,a0p05,valve,6dB,19,0.5129220711082502
n3,g4,clustered_fl,a0p1,fan,-6dB,0,0.5261989614972364
master,g1,clustered_fl,a0p1,fan,-6dB,1,0.6169737152889033
n3,g7,clustered_fl,a0p1,fan,-6dB,2,0.5657046514616212
master,g4,clustered_fl,a0p1,fan,-6dB,3,0.5216864283954123
n1,g4,clustered_fl,a0p1,fan,-6dB,4,0.6035236119376242
n3,g6,clustered_fl,a0p1,fan,-6dB,5,0.592475079172353
master,g6,clustered_fl,a0p1,fan,-6dB,6,0.72014742321537
n3,g1,clustered_fl,a0p1,fan,-6dB,7,0.6134884334017316
master,g2,clustered_fl,a0p1,fan,-6dB,8,0.5974305994018826
n1,g6,clustered_fl,a0p1,fan,-6dB,9,0.6592156249774648
n3,g5,clustered_fl,a0p1,fan,-6dB,10,0.6891345106686708
master,g0,clustered_fl,a0p1,fan,-6dB,11,0.556301200878371
n3,g0,clustered_fl,a0p1,fan,-6dB,12,0.6550521786226603
master,g5,clustered_fl,a0p1,fan,-6dB,13,0.593287310788173
n1,g7,clustered_fl,a0p1,fan,-6dB,14,0.5474737382727403
n3,g3,clustered_fl,a0p1,fan,-6dB,15,0.6469400412145833
master,g3,clustered_fl,a0p1,fan,-6dB,16,0.6848915545348702
n3,g2,clustered_fl,a0p1,fan,-6dB,17,0.6304963191705838
master,g7,clustered_fl,a0p1,fan,-6dB,18,0.6104168532467887
n1,g5,clustered_fl,a0p1,fan,-6dB,19,0.6948375037970744
master,g6,clustered_fl,a0p1,fan,0dB,0,0.8147708383212492
n1,g7,clustered_fl,a0p1,fan,0dB,1,0.8516532343130562
n3,g6,clustered_fl,a0p1,fan,0dB,2,0.8345931492596537
master,g3,clustered_fl,a0p1,fan,0dB,3,0.7427271483358853
n3,g1,clustered_fl,a0p1,fan,0dB,4,0.8067054757490419
master,g5,clustered_fl,a0p1,fan,0dB,5,0.7662510389429149
n1,g5,clustered_fl,a0p1,fan,0dB,6,0.7666762622873575
n3,g2,clustered_fl,a0p1,fan,0dB,7,0.8126074474163744
master,g2,clustered_fl,a0p1,fan,0dB,8,0.719158332652117
n3,g5,clustered_fl,a0p1,fan,0dB,9,0.8608694788554979
master,g0,clustered_fl,a0p1,fan,0dB,10,0.7544984379950874
n1,g6,clustered_fl,a0p1,fan,0dB,11,0.7196095068456591
n3,g4,clustered_fl,a0p1,fan,0dB,12,0.6978414680068404
master,g4,clustered_fl,a0p1,fan,0dB,13,0.717815293999675
n3,g3,clustered_fl,a0p1,fan,0dB,14,0.6513628132616379
master,g7,clustered_fl,a0p1,fan,0dB,15,0.791949237187884
n1,g4,clustered_fl,a0p1,fan,0dB,16,0.7664949690711171
n3,g0,clustered_fl,a0p1,fan,0dB,17,0.8393328828255369
master,g1,clustered_fl,a0p1,fan,0dB,18,0.7574952824870564
n3,g7,clustered_fl,a0p1,fan,0dB,19,0.8591203030224296
master,g4,clustered_fl,a0p1,fan,6dB,0,0.8882948062461407
n3,g4,clustered_fl,a0p1,fan,6dB,1,0.9240261992492738
master,g5,clustered_fl,a0p1,fan,6dB,2,0.9212361421784472
n1,g6,clustered_fl,a0p1,fan,6dB,3,0.9644960338762674
n3,g0,clustered_fl,a0p1,fan,6dB,4,0.9489572283589262
master,g6,clustered_fl,a0p1,fan,6dB,5,0.9192575526739459
n3,g6,clustered_fl,a0p1,fan,6dB,6,0.9798739413165283
master,g2,clustered_fl,a0p1,fan,6dB,7,0.9317191827555467
n1,g4,clustered_fl,a0p1,fan,6dB,8,0.8784894322034655
n3,g1,clustered_fl,a0p1,fan,6dB,9,0.9396223612108194
master,g0,clustered_fl,a0p1,fan,6dB,10,0.9602142980752643
n3,g3,clustered_fl,a0p1,fan,6dB,11,0.9006802343698661
master,g7,clustered_fl,a0p1,fan,6dB,12,0.9339581667216417
n1,g5,clustered_fl,a0p1,fan,6dB,13,0.8637767973120271
n3,g2,clustered_fl,a0p1,fan,6dB,14,0.9055572189765032
master,g1,clustered_fl,a0p1,fan,6dB,15,0.9517321508544377
n3,g7,clustered_fl,a0p1,fan,6dB,16,0.9247165425314003
master,g3,clustered_fl,a0p1,fan,6dB,17,0.9393726896127526
n1,g7,clustered_fl,a0p1,fan,6dB,18,0.9538333899699392
n3,g5,clustered_fl,a0p1,fan,6dB,19,0.9500264083280896
n3,g3,clustered_fl,a0p1,pump,-6dB,0,0.6568056946104883
master,g4,clustered_fl,a0p1,pump,-6dB,1,0.7081415762244452
n3,g1,clustered_fl,a0p1,pump,-6dB,2,0.6672979986697274
master,g0,clustered_fl,a0p1,pump,-6dB,3,0.6663748432631118
n1,g4,clustered_fl,a0p1,pump,-6dB,4,0.6876502772303944
n3,g6,clustered_fl,a0p1,pump,-6dB,5,0.7191333989938404
master,g6,clustered_fl,a0p1,pump,-6dB,6,0.6037463999243166
n3,g5,clustered_fl,a0p1,pump,-6dB,7,0.7349467766347103
master,g2,clustered_fl,a0p1,pump,-6dB,8,0.6797330381137738
n1,g6,clustered_fl,a0p1,pump,-6dB,9,0.6984631116626814
n3,g2,clustered_fl,a0p1,pump,-6dB,10,0.5966871794520313
master,g5,clustered_fl,a0p1,pump,-6dB,11,0.6904984473544014
n3,g4,clustered_fl,a0p1,pump,-6dB,12,0.6966183271967927
master,g7,clustered_fl,a0p1,pump,-6dB,13,0.6985252455409676
n1,g5,clustered_fl,a0p1,pump,-6dB,14,0.6570486440058997
n3,g7,clustered_fl,a0p1,pump,-6dB,15,0.6610641561893567
master,g1,clustered_fl,a0p1,pump,-6dB,16,0.6776344990701356
n3,g0,clustered_fl,a0p1,pump,-6dB,17,0.6793505898961362
master,g3,clustered_fl,a0p1,pump,-6dB,18,0.6878208273557305
n1,g7,clustered_fl,a0p1,pump,-6dB,19,0.6046664626147522
master,g4,clustered_fl,a0p1,pump,0dB,0,0.7302797560025329
n1,g4,clustered_fl,a0p1,pump,0dB,1,0.7320354343731721
n3,g5,clustered_fl,a0p1,pump,0dB,2,0.7553419813989053
master,g3,clustered_fl,a0p1,pump,0dB,3,0.7511714965079438
n3,g7,clustered_fl,a0p1,pump,0dB,4,0.7160949899294765
master,g5,clustered_fl,a0p1,pump,0dB,5,0.8402817635882401
n1,g6,clustered_fl,a0p1,pump,0dB,6,0.6797237940290483
n3,g1,clustered_fl,a0p1,pump,0dB,7,0.7887560932406161
master,g2,clustered_fl,a0p1,pump,0dB,8,0.6786824604425927
n3,g0,clustered_fl,a0p1,pump,0dB,9,0.7979164819270079
master,g0,clustered_fl,a0p1,pump,0dB,10,0.7122876722668636
n1,g7,clustered_fl,a0p1,pump,0dB,11,0.748296863680271
n3,g3,clustered_fl,a0p1,pump,0dB,12,0.7518975659235243
master,g1,clustered_fl,a0p1,pump,0dB,13,0.7286720018978037
n3,g4,clustered_fl,a0p1,pump,0dB,14,0.7270583752581715
master,g6,clustered_fl,a0p1,pump,0dB,15,0.7515868818213532
n1,g5,clustered_fl,a0p1,pump,0dB,16,0.7379551652583156
n3,g2,clustered_fl,a0p1,pump,0dB,17,0.7111589931792607
master,g7,clustered_fl,a0p1,pump,0dB,18,0.7466690058393783
n3,g6,clustered_fl,a0p1,pump,0dB,19,0.6806484517052914
master,g0,clustered_fl,a0p1,pump,6dB,0,0.8198113884095861
n3,g3,clustered_fl,a0p1,pump,6dB,1,0.8535310818159314
master,g3,clustered_fl,a0p1,pump,6dB,2,0.836340510972667
n1,g4,clustered_fl,a0p1,pump,6dB,3,0.822974557471694
n3,g7,clustered_fl,a0p1,pump,6dB,4,0.7643959321479249
master,g7,clustered_fl,a0p1,pump,6dB,5,0.879502714079677
n3,g6,clustered_fl,a0p1,pump,6dB,6,0.7370088578543827
master,g2,clustered_fl,a0p1,pump,6dB,7,0.8413957893021905
n1,g6,clustered_fl,a0p1,pump,6dB,8,0.7964714936265478
n3,g0,clustered_fl,a0p1,pump,6dB,9,0.8700615976672352
master,g6,clustered_fl,a0p1,pump,6dB,10,0.7879510524424479
n3,g4,clustered_fl,a0p1,pump,6dB,11,0.8419699695699947
master,g1,clustered_fl,a0p1,pump,6dB,12,0.791664169247601
n1,g5,clustered_fl,a0p1,pump,6dB,13,0.7986230764380131
n3,g2,clustered_fl,a0p1,pump,6dB,14,0.8350890751012675
master,g4,clustered_fl,a0p1,pump,6dB,15,0.8163973671853888
n3,g5,clustered_fl,a0p1,pump,6dB,16,0.8362374015749694
master,g5,clustered_fl,a0p1,pump,6dB,17,0.8217789676748444
n1,g7,clustered_fl,a0p1,pump,6dB,18,0.8586106446151549
n3,g1,clustered_fl,a0p1,pump,6dB,19,0.7537886860167825
n3,g4,clustered_fl,a0p1,slider,-6dB,0,0.7870834328360065
master,g1,clustered_fl,a0p1,slider,-6dB,1,0.8229879080795316
n3,g6,clustered_fl,a0p1,slider,-6dB,2,0.8349823291713926
master,g3,clustered_fl,a0p1,slider,-6dB,3,0.7903391232484054
n1,g5,clustered_fl,a0p1,slider,-6dB,4,0.8189869465496356
n3,g1,clustered_fl,a0p1,slider,-6dB,5,0.6859147301358528
master,g6,clustered_fl,a0p1,slider,-6dB,6,0.7888249820010985
n3,g0,clustered_fl,a0p1,slider,-6dB,7,0.7992997445041931
master,g2,clustered_fl,a0p1,slider,-6dB,8,0.8157808959630101
n1,g4,clustered_fl,a0p1,slider,-6dB,9,0.7753158853466712
n3,g3,clustered_fl,a0p1,slider,-6dB,10,0.6689486436372545
master,g7,clustered_fl,a0p1,slider,-6dB,11,0.793982584584511
n3,g2,clustered_fl,a0p1,slider,-6dB,12,0.7644864581219817
master,g5,clustered_fl,a0p1,slider,-6dB,13,0.7383082783465971
n1,g7,clustered_fl,a0p1,slider,-6dB,14,0.7591888834019922
n3,g7,clustered_fl,a0p1,slider,-6dB,15,0.7796348735492097
master,g4,clustered_fl,a0p1,slider,-6dB,16,0.7965844511170069
n3,g5,clustered_fl,a0p1,slider,-6dB,17,0.7415082847671405
master,g0,clustered_fl,a0p1,slider,-6dB,18,0.7931496319756883
n1,g6,clustered_fl,a0p1,slider,-6dB,19,0.7900308485850684
master,g5,clustered_fl,a0p1,slider,0dB,0,0.8286088435041892
n1,g5,clustered_fl,a0p1,slider,0dB,1,0.8887692114854917
n3,g2,clustered_fl,a0p1,slider,0dB,2,0.874309978174878
master,g4,clustered_fl,a0p1,slider,0dB,3,0.8861264191858593
n3,g1,clustered_fl,a0p1,slider,0dB,4,0.8783672028455582
master,g3,clustered_fl,a0p1,slider,0dB,5,0.8361033994951195
n1,g6,clustered_fl,a0p1,slider,0dB,6,0.8800737301265467
n3,g0,clustered_fl,a0p1,slider,0dB,7,0.8344804696518822
