host,worker,gpu,done_file,name,normalization_mode,algorithm,alpha,machine_type,db_level,seed,auroc,log_file,log_line
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p5_valve_m6dB_s1.json,p1_norm_central_clustered_fl_a0p5_valve_m6dB_s1,central,clustered_fl,0.5,valve,-6dB,1,0.4744968831295032,n3/p1/logs/p1_norm_g0.log,12
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p5_valve_m6dB_s2.json,p1_norm_central_clustered_fl_a0p5_valve_m6dB_s2,central,clustered_fl,0.5,valve,-6dB,2,0.48367927902316354,master/p1/logs/p1_norm_g0.log,12
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a100_fan_m6dB_s1.json,p1_norm_central_clustered_fl_a100_fan_m6dB_s1,central,clustered_fl,100.0,fan,-6dB,1,0.6364868074015944,master/p1/logs/p1_norm_g0.log,14
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a100_fan_m6dB_s2.json,p1_norm_central_clustered_fl_a100_fan_m6dB_s2,central,clustered_fl,100.0,fan,-6dB,2,0.6130279632546747,n3/p1/logs/p1_norm_g0.log,14
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a100_slider_m6dB_s4.json,p1_norm_central_clustered_fl_a100_slider_m6dB_s4,central,clustered_fl,100.0,slider,-6dB,4,0.8291484759704643,master/p1/logs/p1_norm_g0.log,16
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a100_valve_0dB_s3.json,p1_norm_central_clustered_fl_a100_valve_0dB_s3,central,clustered_fl,100.0,valve,0dB,3,0.5665735543956096,n3/p1/logs/p1_norm_g0.log,16
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_fan_0dB_s0.json,p1_norm_central_fedavg_a0p05_fan_0dB_s0,central,fedavg,0.05,fan,0dB,0,0.721734985595855,n3/p1/logs/p1_norm_g0.log,18
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_fan_0dB_s1.json,p1_norm_central_fedavg_a0p05_fan_0dB_s1,central,fedavg,0.05,fan,0dB,1,0.7932296124211636,master/p1/logs/p1_norm_g0.log,18
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_fan_m6dB_s1.json,p1_norm_central_fedavg_a0p05_fan_m6dB_s1,central,fedavg,0.05,fan,-6dB,1,0.7094583889692662,n3/p1/logs/p1_norm_g0.log,20
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_fan_m6dB_s2.json,p1_norm_central_fedavg_a0p05_fan_m6dB_s2,central,fedavg,0.05,fan,-6dB,2,0.6113546721169469,master/p1/logs/p1_norm_g0.log,20
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_slider_m6dB_s3.json,p1_norm_central_fedavg_a0p05_slider_m6dB_s3,central,fedavg,0.05,slider,-6dB,3,0.7511827267755082,master/p1/logs/p1_norm_g0.log,22
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_valve_0dB_s0.json,p1_norm_central_fedavg_a0p05_valve_0dB_s0,central,fedavg,0.05,valve,0dB,0,0.5662411161757006,n3/p1/logs/p1_norm_g0.log,22
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p05_valve_m6dB_s2.json,p1_norm_central_fedavg_a0p05_valve_m6dB_s2,central,fedavg,0.05,valve,-6dB,2,0.47857030958887725,master/p1/logs/p1_norm_g0.log,24
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p5_fan_0dB_s3.json,p1_norm_central_fedavg_a0p5_fan_0dB_s3,central,fedavg,0.5,fan,0dB,3,0.8014979333542381,n3/p1/logs/p1_norm_g0.log,24
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p5_slider_0dB_s1.json,p1_norm_central_fedavg_a0p5_slider_0dB_s1,central,fedavg,0.5,slider,0dB,1,0.9025824041058848,master/p1/logs/p1_norm_g0.log,26
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p5_slider_0dB_s2.json,p1_norm_central_fedavg_a0p5_slider_0dB_s2,central,fedavg,0.5,slider,0dB,2,0.9098438774386581,n3/p1/logs/p1_norm_g0.log,26
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p5_slider_m6dB_s4.json,p1_norm_central_fedavg_a0p5_slider_m6dB_s4,central,fedavg,0.5,slider,-6dB,4,0.8445230110832809,master/p1/logs/p1_norm_g0.log,28
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a0p5_valve_0dB_s3.json,p1_norm_central_fedavg_a0p5_valve_0dB_s3,central,fedavg,0.5,valve,0dB,3,0.5852186417875453,n3/p1/logs/p1_norm_g0.log,28
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a100_fan_0dB_s1.json,p1_norm_central_fedavg_a100_fan_0dB_s1,central,fedavg,100.0,fan,0dB,1,0.8145686998846315,master/p1/logs/p1_norm_g0.log,30
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a100_fan_0dB_s4.json,p1_norm_central_fedavg_a100_fan_0dB_s4,central,fedavg,100.0,fan,0dB,4,0.8201373047919844,n3/p1/logs/p1_norm_g0.log,30
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a100_slider_0dB_s0.json,p1_norm_central_fedavg_a100_slider_0dB_s0,central,fedavg,100.0,slider,0dB,0,0.9042063854268683,master/p1/logs/p1_norm_g0.log,32
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a100_slider_6dB_s2.json,p1_norm_central_fedavg_a100_slider_6dB_s2,central,fedavg,100.0,slider,6dB,2,0.9460872726592371,n3/p1/logs/p1_norm_g0.log,32
master,norm_g0,0,norm_g0_p1_norm_central_fedavg_a100_valve_0dB_s3.json,p1_norm_central_fedavg_a100_valve_0dB_s3,central,fedavg,100.0,valve,0dB,3,0.5705244190664727,master/p1/logs/p1_norm_g0.log,34
n3,norm_g0,0,norm_g0_p1_norm_central_fedavg_a100_valve_6dB_s1.json,p1_norm_central_fedavg_a100_valve_6dB_s1,central,fedavg,100.0,valve,6dB,1,0.6513292636978656,n3/p1/logs/p1_norm_g0.log,34
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p05_fan_0dB_s3.json,p1_norm_central_personalized_a0p05_fan_0dB_s3,central,personalized,0.05,fan,0dB,3,0.7919044188162743,master/p1/logs/p1_norm_g0.log,36
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p05_fan_6dB_s3.json,p1_norm_central_personalized_a0p05_fan_6dB_s3,central,personalized,0.05,fan,6dB,3,0.948671346485799,n3/p1/logs/p1_norm_g0.log,36
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p05_slider_0dB_s2.json,p1_norm_central_personalized_a0p05_slider_0dB_s2,central,personalized,0.05,slider,0dB,2,0.8462035350790794,master/p1/logs/p1_norm_g0.log,38
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p05_slider_m6dB_s0.json,p1_norm_central_personalized_a0p05_slider_m6dB_s0,central,personalized,0.05,slider,-6dB,0,0.7601175026386487,n3/p1/logs/p1_norm_g0.log,38
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p05_valve_6dB_s0.json,p1_norm_central_personalized_a0p05_valve_6dB_s0,central,personalized,0.05,valve,6dB,0,0.6677510409492187,master/p1/logs/p1_norm_g0.log,40
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p05_valve_6dB_s3.json,p1_norm_central_personalized_a0p05_valve_6dB_s3,central,personalized,0.05,valve,6dB,3,0.6860006089161979,n3/p1/logs/p1_norm_g0.log,40
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p5_fan_0dB_s4.json,p1_norm_central_personalized_a0p5_fan_0dB_s4,central,personalized,0.5,fan,0dB,4,0.833838600489762,master/p1/logs/p1_norm_g0.log,42
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p5_fan_m6dB_s4.json,p1_norm_central_personalized_a0p5_fan_m6dB_s4,central,personalized,0.5,fan,-6dB,4,0.6201613139355768,n3/p1/logs/p1_norm_g0.log,42
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p5_slider_6dB_s2.json,p1_norm_central_personalized_a0p5_slider_6dB_s2,central,personalized,0.5,slider,6dB,2,0.9517940717851016,master/p1/logs/p1_norm_g0.log,44
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p5_valve_0dB_s3.json,p1_norm_central_personalized_a0p5_valve_0dB_s3,central,personalized,0.5,valve,0dB,3,0.5889849518208461,n3/p1/logs/p1_norm_g0.log,44
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a0p5_valve_6dB_s1.json,p1_norm_central_personalized_a0p5_valve_6dB_s1,central,personalized,0.5,valve,6dB,1,0.6483676604126603,master/p1/logs/p1_norm_g0.log,46
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a100_fan_0dB_s4.json,p1_norm_central_personalized_a100_fan_0dB_s4,central,personalized,100.0,fan,0dB,4,0.8297809599770879,n3/p1/logs/p1_norm_g0.log,46
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a100_fan_6dB_s4.json,p1_norm_central_personalized_a100_fan_6dB_s4,central,personalized,100.0,fan,6dB,4,0.9603995069238426,master/p1/logs/p1_norm_g0.log,48
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a100_slider_6dB_s2.json,p1_norm_central_personalized_a100_slider_6dB_s2,central,personalized,100.0,slider,6dB,2,0.9485565614609317,n3/p1/logs/p1_norm_g0.log,48
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a100_slider_6dB_s3.json,p1_norm_central_personalized_a100_slider_6dB_s3,central,personalized,100.0,slider,6dB,3,0.9464954296931225,master/p1/logs/p1_norm_g0.log,50
n3,norm_g0,0,norm_g0_p1_norm_central_personalized_a100_valve_6dB_s1.json,p1_norm_central_personalized_a100_valve_6dB_s1,central,personalized,100.0,valve,6dB,1,0.6671196056038726,n3/p1/logs/p1_norm_g0.log,50
master,norm_g0,0,norm_g0_p1_norm_central_personalized_a100_valve_m6dB_s0.json,p1_norm_central_personalized_a100_valve_m6dB_s0,central,personalized,100.0,valve,-6dB,0,0.48525374978037245,master/p1/logs/p1_norm_g0.log,52
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s3.json,p1_norm_federated_train_clustered_fl_a0p05_fan_6dB_s3,federated_train,clustered_fl,0.05,fan,6dB,3,0.9506077054364143,n3/p1/logs/p1_norm_g0.log,52
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s0.json,p1_norm_federated_train_clustered_fl_a0p05_fan_m6dB_s0,federated_train,clustered_fl,0.05,fan,-6dB,0,0.5706027753134741,master/p1/logs/p1_norm_g0.log,54
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s0.json,p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s0,federated_train,clustered_fl,0.05,slider,-6dB,0,0.8468665658147226,n3/p1/logs/p1_norm_g0.log,54
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s1.json,p1_norm_federated_train_clustered_fl_a0p05_slider_m6dB_s1,federated_train,clustered_fl,0.05,slider,-6dB,1,0.7535012366810973,master/p1/logs/p1_norm_g0.log,56
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p05_valve_m6dB_s1.json,p1_norm_federated_train_clustered_fl_a0p05_valve_m6dB_s1,federated_train,clustered_fl,0.05,valve,-6dB,1,0.6334281199234989,n3/p1/logs/p1_norm_g0.log,56
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p05_valve_m6dB_s2.json,p1_norm_federated_train_clustered_fl_a0p05_valve_m6dB_s2,federated_train,clustered_fl,0.05,valve,-6dB,2,0.4643857255238449,master/p1/logs/p1_norm_g0.log,58
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s2.json,p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s2,federated_train,clustered_fl,0.5,fan,-6dB,2,0.593610594722976,n3/p1/logs/p1_norm_g0.log,58
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s3.json,p1_norm_federated_train_clustered_fl_a0p5_fan_m6dB_s3,federated_train,clustered_fl,0.5,fan,-6dB,3,0.6025110201807328,master/p1/logs/p1_norm_g0.log,60
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p5_slider_6dB_s3.json,p1_norm_federated_train_clustered_fl_a0p5_slider_6dB_s3,federated_train,clustered_fl,0.5,slider,6dB,3,0.9461759818568594,n3/p1/logs/p1_norm_g0.log,60
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s4.json,p1_norm_federated_train_clustered_fl_a0p5_slider_m6dB_s4,federated_train,clustered_fl,0.5,slider,-6dB,4,0.8444834278042359,master/p1/logs/p1_norm_g0.log,62
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a0p5_valve_m6dB_s4.json,p1_norm_federated_train_clustered_fl_a0p5_valve_m6dB_s4,federated_train,clustered_fl,0.5,valve,-6dB,4,0.47433963946272295,n3/p1/logs/p1_norm_g0.log,62
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a100_fan_0dB_s1.json,p1_norm_federated_train_clustered_fl_a100_fan_0dB_s1,federated_train,clustered_fl,100.0,fan,0dB,1,0.812239259252258,master/p1/logs/p1_norm_g0.log,64
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s3.json,p1_norm_federated_train_clustered_fl_a100_fan_m6dB_s3,federated_train,clustered_fl,100.0,fan,-6dB,3,0.612768900475164,n3/p1/logs/p1_norm_g0.log,64
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a100_slider_0dB_s0.json,p1_norm_federated_train_clustered_fl_a100_slider_0dB_s0,federated_train,clustered_fl,100.0,slider,0dB,0,0.9053829507686512,master/p1/logs/p1_norm_g0.log,66
n3,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s4.json,p1_norm_federated_train_clustered_fl_a100_slider_m6dB_s4,federated_train,clustered_fl,100.0,slider,-6dB,4,0.8283377272695003,n3/p1/logs/p1_norm_g0.log,66
master,norm_g0,0,norm_g0_p1_norm_federated_train_clustered_fl_a100_valve_0dB_s3.json,p1_norm_federated_train_clustered_fl_a100_valve_0dB_s3,federated_train,clustered_fl,100.0,valve,0dB,3,0.5670127272792416,master/p1/logs/p1_norm_g0.log,68
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_fan_0dB_s1.json,p1_norm_federated_train_fedavg_a0p05_fan_0dB_s1,federated_train,fedavg,0.05,fan,0dB,1,0.7912267928635099,n3/p1/logs/p1_norm_g0.log,68
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_fan_0dB_s2.json,p1_norm_federated_train_fedavg_a0p05_fan_0dB_s2,federated_train,fedavg,0.05,fan,0dB,2,0.8555889033166831,master/p1/logs/p1_norm_g0.log,70
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_fan_6dB_s4.json,p1_norm_federated_train_fedavg_a0p05_fan_6dB_s4,federated_train,fedavg,0.05,fan,6dB,4,0.9069181261391421,n3/p1/logs/p1_norm_g0.log,70
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_slider_6dB_s0.json,p1_norm_federated_train_fedavg_a0p05_slider_6dB_s0,federated_train,fedavg,0.05,slider,6dB,0,0.7530241347009129,master/p1/logs/p1_norm_g0.log,72
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_slider_m6dB_s1.json,p1_norm_federated_train_fedavg_a0p05_slider_m6dB_s1,federated_train,fedavg,0.05,slider,-6dB,1,0.7377423984520053,n3/p1/logs/p1_norm_g0.log,72
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_valve_0dB_s2.json,p1_norm_federated_train_fedavg_a0p05_valve_0dB_s2,federated_train,fedavg,0.05,valve,0dB,2,0.5995164715313884,master/p1/logs/p1_norm_g0.log,74
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p05_valve_m6dB_s2.json,p1_norm_federated_train_fedavg_a0p05_valve_m6dB_s2,federated_train,fedavg,0.05,valve,-6dB,2,0.47515532913547354,n3/p1/logs/p1_norm_g0.log,74
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p5_fan_6dB_s0.json,p1_norm_federated_train_fedavg_a0p5_fan_6dB_s0,federated_train,fedavg,0.5,fan,6dB,0,0.95845118741828,master/p1/logs/p1_norm_g0.log,76
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p5_fan_m6dB_s3.json,p1_norm_federated_train_fedavg_a0p5_fan_m6dB_s3,federated_train,fedavg,0.5,fan,-6dB,3,0.602512404454642,n3/p1/logs/p1_norm_g0.log,76
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p5_slider_0dB_s4.json,p1_norm_federated_train_fedavg_a0p5_slider_0dB_s4,federated_train,fedavg,0.5,slider,0dB,4,0.8953211640187464,master/p1/logs/p1_norm_g0.log,78
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p5_valve_0dB_s0.json,p1_norm_federated_train_fedavg_a0p5_valve_0dB_s0,federated_train,fedavg,0.5,valve,0dB,0,0.5626085701026593,n3/p1/logs/p1_norm_g0.log,78
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a0p5_valve_0dB_s3.json,p1_norm_federated_train_fedavg_a0p5_valve_0dB_s3,federated_train,fedavg,0.5,valve,0dB,3,0.5877646483798754,master/p1/logs/p1_norm_g0.log,80
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a100_fan_0dB_s2.json,p1_norm_federated_train_fedavg_a100_fan_0dB_s2,federated_train,fedavg,100.0,fan,0dB,2,0.8224954049565618,master/p1/logs/p1_norm_g0.log,82
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a100_fan_0dB_s3.json,p1_norm_federated_train_fedavg_a100_fan_0dB_s3,federated_train,fedavg,100.0,fan,0dB,3,0.7934071440445287,n3/p1/logs/p1_norm_g0.log,80
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a100_slider_0dB_s2.json,p1_norm_federated_train_fedavg_a100_slider_0dB_s2,federated_train,fedavg,100.0,slider,0dB,2,0.9018928611895731,n3/p1/logs/p1_norm_g0.log,82
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a100_slider_6dB_s0.json,p1_norm_federated_train_fedavg_a100_slider_6dB_s0,federated_train,fedavg,100.0,slider,6dB,0,0.9403185887367546,master/p1/logs/p1_norm_g0.log,84
n3,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a100_valve_0dB_s3.json,p1_norm_federated_train_fedavg_a100_valve_0dB_s3,federated_train,fedavg,100.0,valve,0dB,3,0.570667107319215,n3/p1/logs/p1_norm_g0.log,84
master,norm_g0,0,norm_g0_p1_norm_federated_train_fedavg_a100_valve_0dB_s4.json,p1_norm_federated_train_fedavg_a100_valve_0dB_s4,federated_train,fedavg,100.0,valve,0dB,4,0.5414762920542573,master/p1/logs/p1_norm_g0.log,86
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p05_fan_0dB_s3.json,p1_norm_federated_train_personalized_a0p05_fan_0dB_s3,federated_train,personalized,0.05,fan,0dB,3,0.7952880674951348,n3/p1/logs/p1_norm_g0.log,86
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p05_fan_6dB_s1.json,p1_norm_federated_train_personalized_a0p05_fan_6dB_s1,federated_train,personalized,0.05,fan,6dB,1,0.9566763133744184,master/p1/logs/p1_norm_g0.log,88
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p05_slider_0dB_s4.json,p1_norm_federated_train_personalized_a0p05_slider_0dB_s4,federated_train,personalized,0.05,slider,0dB,4,0.858918466808274,n3/p1/logs/p1_norm_g0.log,88
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p05_slider_6dB_s4.json,p1_norm_federated_train_personalized_a0p05_slider_6dB_s4,federated_train,personalized,0.05,slider,6dB,4,0.8832213299724566,master/p1/logs/p1_norm_g0.log,90
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p05_valve_6dB_s2.json,p1_norm_federated_train_personalized_a0p05_valve_6dB_s2,federated_train,personalized,0.05,valve,6dB,2,0.6300354001705293,n3/p1/logs/p1_norm_g0.log,90
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p05_valve_6dB_s3.json,p1_norm_federated_train_personalized_a0p05_valve_6dB_s3,federated_train,personalized,0.05,valve,6dB,3,0.6809643260428322,master/p1/logs/p1_norm_g0.log,92
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p5_fan_6dB_s1.json,p1_norm_federated_train_personalized_a0p5_fan_6dB_s1,federated_train,personalized,0.5,fan,6dB,1,0.9484455020795324,n3/p1/logs/p1_norm_g0.log,92
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p5_fan_m6dB_s0.json,p1_norm_federated_train_personalized_a0p5_fan_m6dB_s0,federated_train,personalized,0.5,fan,-6dB,0,0.6412106821397645,master/p1/logs/p1_norm_g0.log,94
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p5_slider_0dB_s1.json,p1_norm_federated_train_personalized_a0p5_slider_0dB_s1,federated_train,personalized,0.5,slider,0dB,1,0.9028109920111538,n3/p1/logs/p1_norm_g0.log,156
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p5_slider_m6dB_s1.json,p1_norm_federated_train_personalized_a0p5_slider_m6dB_s1,federated_train,personalized,0.5,slider,-6dB,1,0.8363145314431005,master/p1/logs/p1_norm_g0.log,96
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a0p5_slider_m6dB_s4.json,p1_norm_federated_train_personalized_a0p5_slider_m6dB_s4,federated_train,personalized,0.5,slider,-6dB,4,0.8490861641478402,n3/p1/logs/p1_norm_g0.log,158
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a100_fan_0dB_s1.json,p1_norm_federated_train_personalized_a100_fan_0dB_s1,federated_train,personalized,100.0,fan,0dB,1,0.817977078338337,n3/p1/logs/p1_norm_g0.log,160
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a100_fan_0dB_s2.json,p1_norm_federated_train_personalized_a100_fan_0dB_s2,federated_train,personalized,100.0,fan,0dB,2,0.8209564596650158,master/p1/logs/p1_norm_g0.log,160
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a100_slider_0dB_s0.json,p1_norm_federated_train_personalized_a100_slider_0dB_s0,federated_train,personalized,100.0,slider,0dB,0,0.9057893452919725,n3/p1/logs/p1_norm_g0.log,162
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a100_slider_6dB_s4.json,p1_norm_federated_train_personalized_a100_slider_6dB_s4,federated_train,personalized,100.0,slider,6dB,4,0.9372372659438802,master/p1/logs/p1_norm_g0.log,162
master,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a100_valve_0dB_s0.json,p1_norm_federated_train_personalized_a100_valve_0dB_s0,federated_train,personalized,100.0,valve,0dB,0,0.5653824656306194,master/p1/logs/p1_norm_g0.log,164
n3,norm_g0,0,norm_g0_p1_norm_federated_train_personalized_a100_valve_0dB_s3.json,p1_norm_federated_train_personalized_a100_valve_0dB_s3,federated_train,personalized,100.0,valve,0dB,3,0.5765313720508567,n3/p1/logs/p1_norm_g0.log,164
n3,norm_g0,0,norm_g0_p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s3.json,p1_norm_local_site_clustered_fl_a0p05_fan_0dB_s3,local_site,clustered_fl,0.05,fan,0dB,3,0.7768149827723234,n3/p1/logs/p1_norm_g0.log,166
master,norm_g0,0,norm_g0_p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s3.json,p1_norm_local_site_clustered_fl_a0p05_fan_6dB_s3,local_site,clustered_fl,0.05,fan,6dB,3,0.9039623689503293,master/p1/logs/p1_norm_g0.log,166
n3,norm_g0,0,norm_g0_p1_norm_local_site_clustered_fl_a0p05_slider_0dB_s4.json,p1_norm_local_site_clustered_fl_a0p05_slider_0dB_s4,local_site,clustered_fl,0.05,slider,0dB,4,0.8852614219208598,n3/p1/logs/p1_norm_g0.log,168
master,norm_g0,0,norm_g0_p1_norm_local_site_clustered_fl_a0p05_slider_6dB_s4.json,p1_norm_local_site_clustered_fl_a0p05_slider_6dB_s4,local_site,clustered_fl,0.05,slider,6dB,4,0.9409474104313144,master/p1/logs/p1_norm_g0.log,168
